method,mode,stuck_value,epsilon,auroc_mean,auroc_std,auprc_mean,auprc_std,r_error_mean,bucket_acc_mean,runtime_sec_mean
hmm,iid,0.03125,1.0,0.5638605006913189,0.018955994731043126,0.34720787418048715,0.015545518066808152,0.09098100210340203,0.2,0.36835603959916624
hmm,iid,0.03125,1.2,0.5749995587326803,0.020279323722470828,0.3519193909853654,0.017429759998435726,0.10220112887003237,0.2,0.3671014313964406
hmm,iid,0.03125,1.4,0.5859006265995941,0.024034240237296722,0.35512518147932903,0.01087470672834315,0.11788602513132422,0.2,0.3663500412018038
hmm,iid,0.03125,1.6,0.6214397081752125,0.006975665095830745,0.379359638874489,0.009932313894928418,0.125206917263294,0.2,0.36706844059808647
hmm,iid,0.03125,1.8,0.6550289765539964,0.011239937102088367,0.4081873720120878,0.01252145682656074,0.15490220199594953,1.0,0.36849607519689015
hmm,iid,0.03125,2.0,0.6801818021357338,0.007745285304727172,0.4289875164690747,0.012877484516730648,0.14557632722686364,0.6,0.3695272109966027
hmm,iid,0.84375,1.0,0.5907969287794546,0.015168614925091155,0.36723851351656955,0.011511156434213946,0.09751458128044543,0.6,0.3704545431974111
hmm,iid,0.84375,1.2,0.6253496308063424,0.009151438548033877,0.400406959443229,0.012055047361445515,0.12797969466504075,0.6,0.36732369239907714
hmm,iid,0.84375,1.4,0.6479098637954873,0.01056084328489035,0.4203776575389213,0.015516110232947305,0.12635857252422963,1.0,0.36684208060032686
hmm,iid,0.84375,1.6,0.6653678698555586,0.005858503259391511,0.44599116294109037,0.013598319349536168,0.10900397004145028,0.8,0.367202526202891
hmm,iid,0.84375,1.8,0.6895890330362133,0.008226994583665846,0.4639297003414069,0.01490047753125296,0.11227290452153274,0.8,0.36839179059606975
hmm,iid,0.84375,2.0,0.7121442649957344,0.005489659824979397,0.4915589043539,0.01281475774502344,0.11229085081304382,1.0,0.37255713299964555
hmm,segment,0.03125,1.0,0.9103774306474863,0.021780164448084716,0.819569335779466,0.040795109977902526,0.03311346839592199,1.0,0.37445916759897957
hmm,segment,0.03125,1.2,0.931842732327244,0.009044262333328303,0.8377492306580937,0.044138488017021554,0.046043407747936395,1.0,0.3673740872007329
hmm,segment,0.03125,1.4,0.9500461859794663,0.016620275088431787,0.8888214074789303,0.01412073087078564,0.02696521828488902,0.8,0.3672724849981023
hmm,segment,0.03125,1.6,0.9753072691436472,0.005808357141733006,0.9414422563523314,0.007709534072001141,0.023657128829524844,1.0,0.36644741900090594
hmm,segment,0.03125,1.8,0.9805059865266378,0.007692517517069693,0.9534533229484525,0.02206169094783102,0.01337029294727965,1.0,0.36710194100160154
hmm,segment,0.03125,2.0,0.9883726061247904,0.006076943493482574,0.9694802395296245,0.016914192481105438,0.009297312142592874,1.0,0.37017158399976324
hmm,segment,0.84375,1.0,0.9567378577942517,0.008523245491662694,0.9067018530493904,0.01748224587467396,0.017514927230526937,0.6,0.37153567500063217
hmm,segment,0.84375,1.2,0.9769708469390757,0.0051953084915834745,0.9521331081678989,0.011539611648614929,0.007040022316256622,1.0,0.3668734253995353
hmm,segment,0.84375,1.4,0.9850645721177889,0.0033270422808955855,0.9678713120395035,0.005725290378127952,0.008941065357583267,1.0,0.36686204659636135
hmm,segment,0.84375,1.6,0.9926220104139087,0.0016281059928197842,0.9841160051603115,0.004196086726844686,0.006169720554511049,1.0,0.36754027420538476
hmm,segment,0.84375,1.8,0.9956520460094727,0.001097784448229475,0.9900511752454957,0.0030893666443526247,0.003500326713598878,1.0,0.36766390239645264
hmm,segment,0.84375,2.0,0.9976568705321684,0.0010079173031944536,0.9946759422218496,0.0022891018052307957,0.005461341921315366,1.0,0.36685216299956663
mixture,iid,0.03125,1.0,0.6711175830318007,0.009887810023375495,0.4397478490787572,0.015489401688436231,0.0763522012578616,0.8,0.012174129197956064
mixture,iid,0.03125,1.2,0.7086144206160092,0.016778912103911206,0.4894149023968112,0.017023608662181118,0.0892704402515723,0.6,0.01214329400099814
mixture,iid,0.03125,1.4,0.7460821345571148,0.012151306431784432,0.521067550327987,0.016965596038402926,0.09722012578616349,0.4,0.012145445597707295
mixture,iid,0.03125,1.6,0.7699626393669284,0.011464905733135453,0.5489303656091599,0.012306072813697206,0.06939622641509428,0.8,0.012137097798404283
mixture,iid,0.03125,1.8,0.8050360368311124,0.018124186856803774,0.5964370340988211,0.02889450518382769,0.05846540880503141,1.0,0.012180322804488242
mixture,iid,0.03125,2.0,0.8288931544729797,0.014110344420186471,0.6401890972234272,0.024452245555001258,0.04952201257861631,0.8,0.012168751005083323
mixture,iid,0.84375,1.0,0.7138947724531521,0.016077120235879604,0.47767958996936877,0.012891619225063438,0.029182389937106923,0.6,0.012306355198961682
mixture,iid,0.84375,1.2,0.7559659341629159,0.011017188737132094,0.5373140774952131,0.015384801098154412,0.03686792452830186,1.0,0.012125150801148265
mixture,iid,0.84375,1.4,0.7853321272026594,0.010431486710544304,0.5797405873888857,0.018912524878098188,0.028918238993710675,1.0,0.012249353795778007
mixture,iid,0.84375,1.6,0.8134054069955579,0.014084140442798885,0.6106300745070005,0.008076641103746791,0.018981132075471686,1.0,0.012148523397627287
mixture,iid,0.84375,1.8,0.8340517165298739,0.006689267765758797,0.6542309161088641,0.015330367169684365,0.02023899371069182,1.0,0.012344725598813966
mixture,iid,0.84375,2.0,0.8588541758597359,0.008736552247174649,0.7029857238028793,0.009080915375099233,0.017987421383647763,1.0,0.012148018198786303
mixture,segment,0.03125,1.0,0.6581657988409378,0.022850013714462547,0.4232438054840018,0.0235002253424131,0.10616352201257859,0.2,0.012579806600115262
mixture,segment,0.03125,1.2,0.7016213632218398,0.01036802413186691,0.475293542168469,0.012925375542459084,0.10815094339622637,0.8,0.012143374403240158
mixture,segment,0.03125,1.4,0.7280950489806726,0.025999421822891573,0.500275165646998,0.027076812830373543,0.09920754716981128,0.4,0.012123412397340872
mixture,segment,0.03125,1.6,0.7610752213691054,0.015419384098587946,0.5424048447778754,0.01644975646968385,0.08231446540880498,0.6,0.012216051600989885
mixture,segment,0.03125,1.8,0.8016112140734857,0.008182234739652416,0.6036959705562928,0.021696037603781224,0.0644276729559748,1.0,0.012190292798914015
mixture,segment,0.03125,2.0,0.8244089959697585,0.00763923886626102,0.6297454676304246,0.02211704056124346,0.0594591194968553,0.6,0.012203186395345256
mixture,segment,0.84375,1.0,0.7128982437560675,0.00961265779544943,0.4771798034487597,0.010870823183744948,0.02818867924528302,0.8,0.012521977204596624
mixture,segment,0.84375,1.2,0.7496327185008679,0.003771663835671328,0.5164081305890571,0.003543124679647496,0.019974842767295574,0.8,0.012130589797743596
mixture,segment,0.84375,1.4,0.7719634924837466,0.005663872048205284,0.5605009278740777,0.014410520097588734,0.02719496855345911,1.0,0.012251381398527883
mixture,segment,0.84375,1.6,0.8025484658606183,0.006138712239888473,0.6027171583392922,0.006602011934723637,0.019974842767295574,1.0,0.012153472396312282
mixture,segment,0.84375,1.8,0.8257252963845497,0.0070931086805969415,0.6437174465062876,0.011097808807426146,0.018251572327044017,1.0,0.01238605720573105
mixture,segment,0.84375,2.0,0.8495499073338628,0.006433237126389984,0.6866794110342302,0.0100302980599286,0.021962264150943368,1.0,0.012110829801531508
random,iid,0.03125,1.0,0.4969414291177595,0.013126748609653703,0.29687314145203586,0.008752092479612625,0.3,0.0,0.0
random,iid,0.03125,1.2,0.4969414291177595,0.013126748609653703,0.29687314145203586,0.008752092479612625,0.3,0.0,0.0
random,iid,0.03125,1.4,0.4969414291177595,0.013126748609653703,0.29687314145203586,0.008752092479612625,0.3,0.0,0.0
random,iid,0.03125,1.6,0.4969414291177595,0.013126748609653703,0.29687314145203586,0.008752092479612625,0.3,0.0,0.0
random,iid,0.03125,1.8,0.4969414291177595,0.013126748609653703,0.29687314145203586,0.008752092479612625,0.3,0.0,0.0
random,iid,0.03125,2.0,0.4969414291177595,0.013126748609653703,0.29687314145203586,0.008752092479612625,0.3,0.0,0.0
random,iid,0.84375,1.0,0.4969414291177595,0.013126748609653703,0.29687314145203586,0.008752092479612625,0.3,0.0,0.0
random,iid,0.84375,1.2,0.4969414291177595,0.013126748609653703,0.29687314145203586,0.008752092479612625,0.3,0.0,0.0
random,iid,0.84375,1.4,0.4969414291177595,0.013126748609653703,0.29687314145203586,0.008752092479612625,0.3,0.0,0.0
random,iid,0.84375,1.6,0.4969414291177595,0.013126748609653703,0.29687314145203586,0.008752092479612625,0.3,0.0,0.0
random,iid,0.84375,1.8,0.4969414291177595,0.013126748609653703,0.29687314145203586,0.008752092479612625,0.3,0.0,0.0
random,iid,0.84375,2.0,0.4969414291177595,0.013126748609653703,0.29687314145203586,0.008752092479612625,0.3,0.0,0.0
random,segment,0.03125,1.0,0.5007792780866649,0.013960475199041741,0.30131274172373407,0.008185488834431445,0.3,0.0,0.0
random,segment,0.03125,1.2,0.5007792780866649,0.013960475199041741,0.30131274172373407,0.008185488834431445,0.3,0.0,0.0
random,segment,0.03125,1.4,0.5007792780866649,0.013960475199041741,0.30131274172373407,0.008185488834431445,0.3,0.0,0.0
random,segment,0.03125,1.6,0.5007792780866649,0.013960475199041741,0.30131274172373407,0.008185488834431445,0.3,0.0,0.0
random,segment,0.03125,1.8,0.5007792780866649,0.013960475199041741,0.30131274172373407,0.008185488834431445,0.3,0.0,0.0
random,segment,0.03125,2.0,0.5007792780866649,0.013960475199041741,0.30131274172373407,0.008185488834431445,0.3,0.0,0.0
random,segment,0.84375,1.0,0.5007792780866649,0.013960475199041741,0.30131274172373407,0.008185488834431445,0.3,0.0,0.0
