status,dataset_id,epsilon_true,epsilon_candidate,relative_validation_nll
expected_not_measured,air_quality,0.5,0.25,0.3552
expected_not_measured,air_quality,0.5,0.5,0.16
expected_not_measured,air_quality,0.5,0.75,0.2533
expected_not_measured,air_quality,0.5,1.0,0.4505
expected_not_measured,air_quality,0.5,1.5,0.9473
expected_not_measured,air_quality,0.5,2.0,1.4713
expected_not_measured,air_quality,0.5,3.0,2.4699
expected_not_measured,air_quality,0.5,4.0,3.3704
expected_not_measured,air_quality,0.5,6.0,4.9177
expected_not_measured,air_quality,1.0,0.25,1.122
expected_not_measured,air_quality,1.0,0.5,0.4505
expected_not_measured,air_quality,1.0,0.75,0.2146
expected_not_measured,air_quality,1.0,1.0,0.16
expected_not_measured,air_quality,1.0,1.5,0.2813
expected_not_measured,air_quality,1.0,2.0,0.5274
expected_not_measured,air_quality,1.0,3.0,1.122
expected_not_measured,air_quality,1.0,4.0,1.7294
expected_not_measured,air_quality,1.0,6.0,2.8569
expected_not_measured,air_quality,2.0,0.25,2.6785
expected_not_measured,air_quality,2.0,0.5,1.4713
expected_not_measured,air_quality,2.0,0.75,0.8652
expected_not_measured,air_quality,2.0,1.0,0.5274
expected_not_measured,air_quality,2.0,1.5,0.2265
expected_not_measured,air_quality,2.0,2.0,0.16
expected_not_measured,air_quality,2.0,3.0,0.3004
expected_not_measured,air_quality,2.0,4.0,0.5781
expected_not_measured,air_quality,2.0,6.0,1.2335
expected_not_measured,air_quality,4.0,0.25,5.1489
expected_not_measured,air_quality,4.0,0.5,3.3704
expected_not_measured,air_quality,4.0,0.75,2.3693
expected_not_measured,air_quality,4.0,1.0,1.7294
expected_not_measured,air_quality,4.0,1.5,0.978
expected_not_measured,air_quality,4.0,2.0,0.5781
expected_not_measured,air_quality,4.0,3.0,0.2339
expected_not_measured,air_quality,4.0,4.0,0.16
expected_not_measured,air_quality,4.0,6.0,0.3117
expected_not_measured,household_power,0.5,0.25,0.3152
expected_not_measured,household_power,0.5,0.5,0.12
expected_not_measured,household_power,0.5,0.75,0.2133
expected_not_measured,household_power,0.5,1.0,0.4105
expected_not_measured,household_power,0.5,1.5,0.9073
expected_not_measured,household_power,0.5,2.0,1.4313
expected_not_measured,household_power,0.5,3.0,2.4299
expected_not_measured,household_power,0.5,4.0,3.3304
expected_not_measured,household_power,0.5,6.0,4.8777
expected_not_measured,household_power,1.0,0.25,1.082
expected_not_measured,household_power,1.0,0.5,0.4105
