station,name,state,flat_flag_rows,water_level_numeric_flat_rows,one_minute_numeric_at_flat_rows,one_minute_rows,one_minute_status,water_level_url,one_minute_url
1612340,Honolulu,HI,2,0,0,4314,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=1612340&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=1612340&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
1820000,"Kwajalein, Marshall Islands",United States of America,8,0,0,4307,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=1820000&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=1820000&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
2695540,"Bermuda, St. Georges Island",Bermuda,1,0,1,4313,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=2695540&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=2695540&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8447930,Woods Hole,MA,2,0,0,4313,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8447930&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8447930&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8531680,Sandy Hook,NJ,2,0,0,4319,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8531680&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8531680&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8539094,"Burlington, Delaware River",NJ,6,0,0,4319,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8539094&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8539094&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8555889,Brandywine Shoal Light,DE,60,0,0,4319,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8555889&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8555889&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8574680,Baltimore,MD,2,0,0,4313,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8574680&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8574680&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8652587,Oregon Inlet Marina,NC,2,0,0,0,No data was found. This product may not be offered at this station at the requested time.,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8652587&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8652587&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8658163,Wrightsville Beach,NC,1,0,0,4319,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8658163&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8658163&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8720218,Mayport (Bar Pilots Dock),FL,1,0,1,4319,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8720218&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8720218&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8723970,"Vaca Key, Florida Bay",FL,2,0,2,4318,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8723970&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8723970&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8726674,East Bay,FL,1,0,0,4318,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8726674&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8726674&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8729840,Pensacola,FL,2,0,1,4318,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8729840&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8729840&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8761305,Shell Beach,LA,1,0,0,4318,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8761305&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8761305&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8764314,"Eugene Island, North of, Atchafalaya Bay",LA,9,0,4,4312,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8764314&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8764314&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8771450,Galveston Pier 21,TX,1,0,1,4318,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8771450&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8771450&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8772985,Sargent,TX,1,0,0,4318,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8772985&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8772985&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8773037,Seadrift,TX,4,0,0,0,No data was found. This product may not be offered at this station at the requested time.,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8773037&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8773037&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8774513,Copano Bay,TX,138,0,1,4310,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8774513&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8774513&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8775222,Viola Turning Basin,TX,1,0,0,4316,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8775222&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8775222&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8775283,"Enbridge, Ingleside",TX,316,0,0,0,No data was found. This product may not be offered at this station at the requested time.,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8775283&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8775283&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
8779770,Port Isabel,TX,1,0,0,4311,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8779770&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=8779770&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9410230,La Jolla,CA,1,0,0,4317,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9410230&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9410230&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9410660,Los Angeles,CA,1,0,0,4317,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9410660&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9410660&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9410840,Santa Monica,CA,164,0,0,4316,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9410840&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9410840&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9414863,Richmond,CA,1,0,0,4316,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9414863&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9414863&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9415102,Martinez-Amorco Pier,CA,1,0,0,4316,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9415102&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9415102&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9415144,Port Chicago,CA,15,0,0,4316,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9415144&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9415144&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9419750,Crescent City,CA,1,0,0,4316,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9419750&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9419750&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9431647,Port Orford,OR,3,0,0,4310,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9431647&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9431647&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9435380,South Beach,OR,2,0,0,4310,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9435380&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9435380&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9440581,Cape Disappointment,WA,13,0,0,4316,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9440581&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9440581&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9455760,Nikiski,AK,1,0,0,4316,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9455760&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9455760&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9497645,Prudhoe Bay,AK,26,0,0,4316,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9497645&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9497645&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
9755371,"San Juan, La Puntilla, San Juan Bay",PR,0,0,0,4310,ok,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9755371&product=water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=recent&station=9755371&product=one_minute_water_level&datum=MLLW&time_zone=gmt&units=metric&application=PrivSAF&format=json
