epsilon_per_report,cadence,minutes_per_report,reports_per_day,device_epsilon_per_day_basic_composition,device_epsilon_per_30_days_basic_composition,device_epsilon_per_year_basic_composition,device_budget,max_reports_under_budget,days_until_budget_exhausted
0.5,I-ORS 10-minute telemetry,10,144.0,72.0,2160.0,26280.0,1.0,2,0.013888888888888888
0.5,I-ORS 10-minute telemetry,10,144.0,72.0,2160.0,26280.0,10.0,20,0.1388888888888889
0.5,hourly telemetry,60,24.0,12.0,360.0,4380.0,1.0,2,0.08333333333333333
0.5,hourly telemetry,60,24.0,12.0,360.0,4380.0,10.0,20,0.8333333333333334
0.5,daily telemetry,1440,1.0,0.5,15.0,182.5,1.0,2,2.0
0.5,daily telemetry,1440,1.0,0.5,15.0,182.5,10.0,20,20.0
1.0,I-ORS 10-minute telemetry,10,144.0,144.0,4320.0,52560.0,1.0,1,0.006944444444444444
1.0,I-ORS 10-minute telemetry,10,144.0,144.0,4320.0,52560.0,10.0,10,0.06944444444444445
1.0,hourly telemetry,60,24.0,24.0,720.0,8760.0,1.0,1,0.041666666666666664
1.0,hourly telemetry,60,24.0,24.0,720.0,8760.0,10.0,10,0.4166666666666667
1.0,daily telemetry,1440,1.0,1.0,30.0,365.0,1.0,1,1.0
1.0,daily telemetry,1440,1.0,1.0,30.0,365.0,10.0,10,10.0
2.0,I-ORS 10-minute telemetry,10,144.0,288.0,8640.0,105120.0,1.0,0,0.0
2.0,I-ORS 10-minute telemetry,10,144.0,288.0,8640.0,105120.0,10.0,5,0.034722222222222224
2.0,hourly telemetry,60,24.0,48.0,1440.0,17520.0,1.0,0,0.0
2.0,hourly telemetry,60,24.0,48.0,1440.0,17520.0,10.0,5,0.20833333333333334
2.0,daily telemetry,1440,1.0,2.0,60.0,730.0,1.0,0,0.0
2.0,daily telemetry,1440,1.0,2.0,60.0,730.0,10.0,5,5.0
4.0,I-ORS 10-minute telemetry,10,144.0,576.0,17280.0,210240.0,1.0,0,0.0
4.0,I-ORS 10-minute telemetry,10,144.0,576.0,17280.0,210240.0,10.0,2,0.013888888888888888
4.0,hourly telemetry,60,24.0,96.0,2880.0,35040.0,1.0,0,0.0
4.0,hourly telemetry,60,24.0,96.0,2880.0,35040.0,10.0,2,0.08333333333333333
4.0,daily telemetry,1440,1.0,4.0,120.0,1460.0,1.0,0,0.0
4.0,daily telemetry,1440,1.0,4.0,120.0,1460.0,10.0,2,2.0
