dataset_id,file,bytes,row_count_if_tabular
household_power,data/household_power/household_power_consumption.zip,20640916,0
household_power,data/household_power/raw/household_power_consumption.txt,132960755,2075259
bike_sharing,data/bike_sharing/bike_sharing_dataset.zip,279992,0
bike_sharing,data/bike_sharing/raw/day.csv,57569,731
bike_sharing,data/bike_sharing/raw/hour.csv,1156736,17379
bike_sharing,data/bike_sharing/raw/Readme.txt,5607,0
beijing_air,data/beijing_air/beijing_multi_site_air_quality.zip,8192212,0
beijing_air,data/beijing_air/raw/2A2478DC-8517-4490-9FA7-36F9A7A542BE.JPG,158758,0
beijing_air,data/beijing_air/raw/data.csv,37769,503
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228/PRSA_Data_20130301-20170228/PRSA_Data_Aotizhongxin_20130301-20170228.csv,2835916,35064
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228/PRSA_Data_20130301-20170228/PRSA_Data_Changping_20130301-20170228.csv,2722295,35064
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228/PRSA_Data_20130301-20170228/PRSA_Data_Dingling_20130301-20170228.csv,2675856,35064
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228/PRSA_Data_20130301-20170228/PRSA_Data_Dongsi_20130301-20170228.csv,2636684,35064
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228/PRSA_Data_20130301-20170228/PRSA_Data_Guanyuan_20130301-20170228.csv,2695860,35064
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228/PRSA_Data_20130301-20170228/PRSA_Data_Gucheng_20130301-20170228.csv,2654625,35064
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228/PRSA_Data_20130301-20170228/PRSA_Data_Huairou_20130301-20170228.csv,2641027,35064
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228/PRSA_Data_20130301-20170228/PRSA_Data_Nongzhanguan_20130301-20170228.csv,2839705,35064
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228/PRSA_Data_20130301-20170228/PRSA_Data_Shunyi_20130301-20170228.csv,2620654,35064
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228/PRSA_Data_20130301-20170228/PRSA_Data_Tiantan_20130301-20170228.csv,2655061,35064
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228/PRSA_Data_20130301-20170228/PRSA_Data_Wanliu_20130301-20170228.csv,2659544,35064
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228/PRSA_Data_20130301-20170228/PRSA_Data_Wanshouxigong_20130301-20170228.csv,2871076,35064
beijing_air,data/beijing_air/raw/PRSA2017_Data_20130301-20170228.zip,7959991,0
beijing_air,data/beijing_air/raw/test.csv,35186,503
gas_drift,data/gas_drift/gas_sensor_array_drift.zip,9989262,0
gas_drift,data/gas_drift/raw/Dataset/batch1.dat,752726,0
gas_drift,data/gas_drift/raw/Dataset/batch10.dat,6045679,0
gas_drift,data/gas_drift/raw/Dataset/batch2.dat,2119601,0
gas_drift,data/gas_drift/raw/Dataset/batch3.dat,2706554,0
gas_drift,data/gas_drift/raw/Dataset/batch4.dat,276473,0
gas_drift,data/gas_drift/raw/Dataset/batch5.dat,339035,0
gas_drift,data/gas_drift/raw/Dataset/batch6.dat,3902170,0
gas_drift,data/gas_drift/raw/Dataset/batch7.dat,6117334,0
gas_drift,data/gas_drift/raw/Dataset/batch8.dat,491904,0
gas_drift,data/gas_drift/raw/Dataset/batch9.dat,785870,0
nab,data/nab/raw/realKnownCause/ambient_temperature_system_failure.csv,233321,7267
nab,data/nab/raw/realKnownCause/machine_temperature_system_failure.csv,732223,22695
nab,data/nab/raw/realTraffic/occupancy_6005.csv,59122,2380
