status,fault_mode,method,epsilon,expected_relative_score
expected_not_measured,iid_stuck,PM-NoClean,0.25,0.379
expected_not_measured,iid_stuck,PM-NoClean,0.5,0.4026
expected_not_measured,iid_stuck,PM-NoClean,1.0,0.44
expected_not_measured,iid_stuck,PM-NoClean,2.0,0.4926
expected_not_measured,iid_stuck,PM-NoClean,4.0,0.559
expected_not_measured,iid_stuck,PM-Robust,0.25,0.509
expected_not_measured,iid_stuck,PM-Robust,0.5,0.5326
expected_not_measured,iid_stuck,PM-Robust,1.0,0.57
expected_not_measured,iid_stuck,PM-Robust,2.0,0.6226
expected_not_measured,iid_stuck,PM-Robust,4.0,0.689
expected_not_measured,iid_stuck,PM-Mixture,0.25,0.709
expected_not_measured,iid_stuck,PM-Mixture,0.5,0.7326
expected_not_measured,iid_stuck,PM-Mixture,1.0,0.77
expected_not_measured,iid_stuck,PM-Mixture,2.0,0.8226
expected_not_measured,iid_stuck,PM-Mixture,4.0,0.889
expected_not_measured,iid_stuck,PM-HMM,0.25,0.579
expected_not_measured,iid_stuck,PM-HMM,0.5,0.6026
expected_not_measured,iid_stuck,PM-HMM,1.0,0.64
expected_not_measured,iid_stuck,PM-HMM,2.0,0.6926
expected_not_measured,iid_stuck,PM-HMM,4.0,0.759
expected_not_measured,iid_stuck,PM-Selected,0.25,0.709
expected_not_measured,iid_stuck,PM-Selected,0.5,0.7326
expected_not_measured,iid_stuck,PM-Selected,1.0,0.77
expected_not_measured,iid_stuck,PM-Selected,2.0,0.8226
expected_not_measured,iid_stuck,PM-Selected,4.0,0.889
expected_not_measured,segment_stuck,PM-NoClean,0.25,0.379
expected_not_measured,segment_stuck,PM-NoClean,0.5,0.4026
expected_not_measured,segment_stuck,PM-NoClean,1.0,0.44
expected_not_measured,segment_stuck,PM-NoClean,2.0,0.4926
expected_not_measured,segment_stuck,PM-NoClean,4.0,0.559
expected_not_measured,segment_stuck,PM-Robust,0.25,0.549
expected_not_measured,segment_stuck,PM-Robust,0.5,0.5726
expected_not_measured,segment_stuck,PM-Robust,1.0,0.61
expected_not_measured,segment_stuck,PM-Robust,2.0,0.6626
expected_not_measured,segment_stuck,PM-Robust,4.0,0.729
expected_not_measured,segment_stuck,PM-Mixture,0.25,0.649
expected_not_measured,segment_stuck,PM-Mixture,0.5,0.6726
expected_not_measured,segment_stuck,PM-Mixture,1.0,0.71
expected_not_measured,segment_stuck,PM-Mixture,2.0,0.7626
expected_not_measured,segment_stuck,PM-Mixture,4.0,0.829
expected_not_measured,segment_stuck,PM-HMM,0.25,0.809
expected_not_measured,segment_stuck,PM-HMM,0.5,0.8326
expected_not_measured,segment_stuck,PM-HMM,1.0,0.87
expected_not_measured,segment_stuck,PM-HMM,2.0,0.9226
expected_not_measured,segment_stuck,PM-HMM,4.0,0.96
expected_not_measured,segment_stuck,PM-Selected,0.25,0.809
expected_not_measured,segment_stuck,PM-Selected,0.5,0.8326
expected_not_measured,segment_stuck,PM-Selected,1.0,0.87
expected_not_measured,segment_stuck,PM-Selected,2.0,0.9226
expected_not_measured,segment_stuck,PM-Selected,4.0,0.96
expected_not_measured,bias_drift,PM-NoClean,0.25,0.329
expected_not_measured,bias_drift,PM-NoClean,0.5,0.3526
expected_not_measured,bias_drift,PM-NoClean,1.0,0.39
expected_not_measured,bias_drift,PM-NoClean,2.0,0.4426
expected_not_measured,bias_drift,PM-NoClean,4.0,0.509
expected_not_measured,bias_drift,PM-Robust,0.25,0.479
expected_not_measured,bias_drift,PM-Robust,0.5,0.5026
expected_not_measured,bias_drift,PM-Robust,1.0,0.54
expected_not_measured,bias_drift,PM-Robust,2.0,0.5926
expected_not_measured,bias_drift,PM-Robust,4.0,0.659
expected_not_measured,bias_drift,PM-Mixture,0.25,0.509
expected_not_measured,bias_drift,PM-Mixture,0.5,0.5326
expected_not_measured,bias_drift,PM-Mixture,1.0,0.57
expected_not_measured,bias_drift,PM-Mixture,2.0,0.6226
expected_not_measured,bias_drift,PM-Mixture,4.0,0.689
expected_not_measured,bias_drift,PM-HMM,0.25,0.549
expected_not_measured,bias_drift,PM-HMM,0.5,0.5726
expected_not_measured,bias_drift,PM-HMM,1.0,0.61
expected_not_measured,bias_drift,PM-HMM,2.0,0.6626
expected_not_measured,bias_drift,PM-HMM,4.0,0.729
expected_not_measured,bias_drift,PM-Selected,0.25,0.569
expected_not_measured,bias_drift,PM-Selected,0.5,0.5926
expected_not_measured,bias_drift,PM-Selected,1.0,0.63
expected_not_measured,bias_drift,PM-Selected,2.0,0.6826
expected_not_measured,bias_drift,PM-Selected,4.0,0.749
