station_id,label_code,label,n_rows_full,positive_rows_full,fault_rate_full,negative_rows_full,eligible_for_pmldp,sample_rule,n_rows_sample,positive_rows_sample,fault_rate_sample,station_url
702606-96401,TSS,temperature straight string,34649,13,0.0003751912032093278,34636,0,full,34649,13,0.0003751912032093278,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz
702606-96401,DSS,dew point straight string,32869,13,0.0003955094465910128,32856,0,full,32869,13,0.0003955094465910128,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz
702606-96401,WSS,wind speed straight string,33048,0,0.0,33048,0,full,33048,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz
702606-96401,PSS,sea-level pressure straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz
702606-96401,RSS,wind direction straight string,692,140,0.2023121387283237,552,1,full,692,140,0.2023121387283237,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz
701045-26649,TSS,temperature straight string,58914,24,0.00040737345961910584,58890,0,full,58914,24,0.00040737345961910584,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_701045-26649.nc.gz
701045-26649,DSS,dew point straight string,58610,469,0.008002047432178808,58141,1,full,58610,469,0.008002047432178808,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_701045-26649.nc.gz
701045-26649,WSS,wind speed straight string,58764,0,0.0,58764,0,full,58764,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_701045-26649.nc.gz
701045-26649,PSS,sea-level pressure straight string,17,0,0.0,17,0,full,17,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_701045-26649.nc.gz
701045-26649,RSS,wind direction straight string,117,45,0.38461538461538464,72,0,full,117,45,0.38461538461538464,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_701045-26649.nc.gz
710480-99999,TSS,temperature straight string,35834,0,0.0,35834,0,full,35834,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_710480-99999.nc.gz
710480-99999,DSS,dew point straight string,35815,0,0.0,35815,0,full,35815,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_710480-99999.nc.gz
710480-99999,WSS,wind speed straight string,35835,0,0.0,35835,0,full,35835,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_710480-99999.nc.gz
710480-99999,PSS,sea-level pressure straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_710480-99999.nc.gz
710480-99999,RSS,wind direction straight string,1340,0,0.0,1340,0,full,1340,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_710480-99999.nc.gz
718436-99999,TSS,temperature straight string,37912,54,0.001424351128930154,37858,1,full,37912,54,0.001424351128930154,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_718436-99999.nc.gz
718436-99999,DSS,dew point straight string,37898,0,0.0,37898,0,full,37898,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_718436-99999.nc.gz
718436-99999,WSS,wind speed straight string,37953,715,0.018839090453982556,37238,1,full,37953,715,0.018839090453982556,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_718436-99999.nc.gz
718436-99999,PSS,sea-level pressure straight string,37813,0,0.0,37813,0,full,37813,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_718436-99999.nc.gz
718436-99999,RSS,wind direction straight string,817,0,0.0,817,0,full,817,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_718436-99999.nc.gz
727795-99999,TSS,temperature straight string,48171,0,0.0,48171,0,full,48171,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_727795-99999.nc.gz
727795-99999,DSS,dew point straight string,87,0,0.0,87,0,full,87,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_727795-99999.nc.gz
727795-99999,WSS,wind speed straight string,48248,251,0.005202288177748301,47997,1,full,48248,251,0.005202288177748301,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_727795-99999.nc.gz
727795-99999,PSS,sea-level pressure straight string,32,0,0.0,32,0,full,32,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_727795-99999.nc.gz
727795-99999,RSS,wind direction straight string,282,12,0.0425531914893617,270,0,full,282,12,0.0425531914893617,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_727795-99999.nc.gz
784575-99999,TSS,temperature straight string,84533,16,0.00018927519430281665,84517,0,full,84533,16,0.00018927519430281665,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_784575-99999.nc.gz
784575-99999,DSS,dew point straight string,84464,26,0.0003078234514112521,84438,0,full,84464,26,0.0003078234514112521,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_784575-99999.nc.gz
784575-99999,WSS,wind speed straight string,84574,733,0.008666966207108568,83841,1,full,84574,733,0.008666966207108568,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_784575-99999.nc.gz
