station_id,label_code,label,n_rows_full,positive_rows_full,fault_rate_full,negative_rows_full,eligible_for_pmldp,sample_rule,n_rows_sample,positive_rows_sample,fault_rate_sample,station_url
030090-99999,TSS,temperature straight string,464,36,0.07758620689655173,428,0,full,464,36,0.07758620689655173,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_030090-99999.nc.gz
030090-99999,DSS,dew point straight string,244,0,0.0,244,0,full,244,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_030090-99999.nc.gz
030090-99999,PSS,sea-level pressure straight string,417,0,0.0,417,0,full,417,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_030090-99999.nc.gz
083905-99999,TSS,temperature straight string,39852,0,0.0,39852,0,full,39852,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_083905-99999.nc.gz
083905-99999,DSS,dew point straight string,39786,18,0.00045242044940431306,39768,0,full,39786,18,0.00045242044940431306,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_083905-99999.nc.gz
083905-99999,PSS,sea-level pressure straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_083905-99999.nc.gz
031610-99999,TSS,temperature straight string,85,0,0.0,85,0,full,85,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_031610-99999.nc.gz
031610-99999,DSS,dew point straight string,75,0,0.0,75,0,full,75,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_031610-99999.nc.gz
031610-99999,PSS,sea-level pressure straight string,71,0,0.0,71,0,full,71,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_031610-99999.nc.gz
030290-99999,TSS,temperature straight string,4635,0,0.0,4635,0,full,4635,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_030290-99999.nc.gz
030290-99999,DSS,dew point straight string,4622,0,0.0,4622,0,full,4622,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_030290-99999.nc.gz
030290-99999,PSS,sea-level pressure straight string,43,0,0.0,43,0,full,43,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_030290-99999.nc.gz
034020-99999,TSS,temperature straight string,81,0,0.0,81,0,full,81,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_034020-99999.nc.gz
034020-99999,DSS,dew point straight string,79,0,0.0,79,0,full,79,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_034020-99999.nc.gz
034020-99999,PSS,sea-level pressure straight string,73,0,0.0,73,0,full,73,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_034020-99999.nc.gz
034010-99999,TSS,temperature straight string,29,0,0.0,29,0,full,29,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_034010-99999.nc.gz
034010-99999,DSS,dew point straight string,28,0,0.0,28,0,full,28,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_034010-99999.nc.gz
034010-99999,PSS,sea-level pressure straight string,13,0,0.0,13,0,full,13,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_034010-99999.nc.gz
024280-99999,TSS,temperature straight string,42481,0,0.0,42481,0,full,42481,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_024280-99999.nc.gz
024280-99999,DSS,dew point straight string,42436,15,0.00035347346592515787,42421,0,full,42436,15,0.00035347346592515787,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_024280-99999.nc.gz
024280-99999,PSS,sea-level pressure straight string,36,0,0.0,36,0,full,36,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_024280-99999.nc.gz
037850-99999,TSS,temperature straight string,34351,0,0.0,34351,0,full,34351,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_037850-99999.nc.gz
037850-99999,DSS,dew point straight string,34148,0,0.0,34148,0,full,34148,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_037850-99999.nc.gz
037850-99999,PSS,sea-level pressure straight string,179,0,0.0,179,0,full,179,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_037850-99999.nc.gz
025550-99999,TSS,temperature straight string,42790,15,0.0003505491937368544,42775,0,full,42790,15,0.0003505491937368544,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025550-99999.nc.gz
025550-99999,DSS,dew point straight string,42754,67,0.0015671048322963934,42687,1,full,42754,67,0.0015671048322963934,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025550-99999.nc.gz
025550-99999,PSS,sea-level pressure straight string,58,0,0.0,58,0,full,58,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025550-99999.nc.gz
039050-99999,TSS,temperature straight string,35124,0,0.0,35124,0,full,35124,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_039050-99999.nc.gz
039050-99999,DSS,dew point straight string,35072,0,0.0,35072,0,full,35072,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_039050-99999.nc.gz
039050-99999,PSS,sea-level pressure straight string,35063,0,0.0,35063,0,full,35063,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_039050-99999.nc.gz
023060-99999,TSS,temperature straight string,44533,0,0.0,44533,0,full,44533,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_023060-99999.nc.gz
023060-99999,DSS,dew point straight string,44493,0,0.0,44493,0,full,44493,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_023060-99999.nc.gz
023060-99999,PSS,sea-level pressure straight string,67,0,0.0,67,0,full,67,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_023060-99999.nc.gz
062580-99999,TSS,temperature straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_062580-99999.nc.gz
062580-99999,DSS,dew point straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_062580-99999.nc.gz
062580-99999,PSS,sea-level pressure straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_062580-99999.nc.gz
