station_id,station_file,station_url,page_url,size,size_mb,start,end,rows,qc_tests,station_file_sha256,station_file_bytes
030090-99999,hadisd.3.4.3.2025f_19310101-20250829_030090-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_030090-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_0.html,502K,0.490234375,1978-10-03 00:00,2006-04-10 18:00,31242,71,a70d06bce4285dd9a5693588cef6757546259f8f74423385e993fd0a34f7c14f,272893
083905-99999,hadisd.3.4.3.2025f_19310101-20250829_083905-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_083905-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_0.html,514K,0.501953125,2007-06-29 07:00,2025-08-22 13:00,39897,71,e2b8138ddfd3d64f6460b4dc342f6c33c5df8093609e4bfe878038563dc79754,260083
031610-99999,hadisd.3.4.3.2025f_19310101-20250829_031610-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_031610-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_0.html,519K,0.5068359375,1973-01-08 08:00,2006-03-16 18:00,41112,71,0d39130c7542860f623ba57fa52930fc0d11aa9f3f661313c41dc045a47f01fe,239120
030290-99999,hadisd.3.4.3.2025f_19310101-20250829_030290-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_030290-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_0.html,611K,0.5966796875,1973-01-01 00:00,2002-10-27 12:00,37889,71,a8b3ca98c17ca7d15431004593ce61be42395862b03fa2cafc2272df899b6b41,355846
034020-99999,hadisd.3.4.3.2025f_19310101-20250829_034020-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_034020-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_0.html,616K,0.6015625,1973-01-01 09:00,2004-02-11 16:00,44362,71,31ae58e1296d65ae1925822cce25e2f4432c20eca04915e6f11cb2d6a2f534d8,350265
034010-99999,hadisd.3.4.3.2025f_19310101-20250829_034010-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_034010-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_0.html,690K,0.673828125,1973-01-06 12:00,2003-07-22 18:00,57599,71,5478b271114f9181337c4fcf135bc459496c42e673a9f81de3db9a7f7c68cb15,378980
024280-99999,hadisd.3.4.3.2025f_19310101-20250829_024280-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_024280-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_0.html,723K,0.7060546875,1977-07-01 03:00,2004-08-01 06:00,42570,71,c56f6be2767e80bf22d546cd81cc2a76bf9541162e6db9839a1a1d43c2c17fd5,469075
037850-99999,hadisd.3.4.3.2025f_19310101-20250829_037850-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_037850-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_0.html,729K,0.7119140625,1980-09-10 15:00,2001-12-31 18:00,34408,71,09bb052805eb7c37680982f2bcab5658dc7d3d5e125eb45ecf5e241f06817f9b,482438
025550-99999,hadisd.3.4.3.2025f_19310101-20250829_025550-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025550-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_0.html,775K,0.7568359375,1977-07-01 06:00,2003-01-02 00:00,42833,71,507a2504da2cb47305fa4fa921b590f59af59924c52a34c67f83db5a2ba8d179,505806
039050-99999,hadisd.3.4.3.2025f_19310101-20250829_039050-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_039050-99999.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_0.html,783K,0.7646484375,1973-01-01 06:00,2001-11-16 06:00,35142,71,4ad821a8a1daee2561e9504e05437de5495f54a5f970777f186c0efb908c1592,533124
