source,station_id,station_file_url,station_page_url,test_index,test_code,description,rows,positive_flags,negative_flags,nonzero_flags,positive_runs,max_positive_run_length,string_or_streak_code,mapped_variable,field_relevance,fit_for_privsaf,all_station_bin_counts,all_station_bin_percentages
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,0,DUP,duplicates,37103,0,0,0,0,0,0,,other HadISD QC flag,not used for PrivSAF real-streak evidence,"[10389, 0, 0, 0, 0, 0, 0, 16]","[99.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,1,TFV,T frequent values check,37103,0,0,0,0,0,0,,other HadISD QC flag,not used for PrivSAF real-streak evidence,"[10124, 206, 27, 24, 9, 5, 7, 3]","[97.3, 2.0, 0.3, 0.2, 0.1, 0.0, 0.1, 0.0]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,2,DFV,Td frequent values check,37103,0,0,0,0,0,0,,other HadISD QC flag,not used for PrivSAF real-streak evidence,"[10109, 200, 24, 31, 16, 7, 13, 5]","[97.2, 1.9, 0.2, 0.3, 0.2, 0.1, 0.1, 0.0]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,3,SFV,SLP frequent values check,37103,0,0,0,0,0,0,,other HadISD QC flag,not used for PrivSAF real-streak evidence,"[10187, 78, 15, 27, 13, 10, 15, 60]","[97.9, 0.7, 0.1, 0.3, 0.1, 0.1, 0.1, 0.6]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,4,DNL,diurnal,37103,0,0,0,0,0,0,,other HadISD QC flag,not used for PrivSAF real-streak evidence,"[9650, 21, 127, 307, 148, 63, 48, 41]","[92.7, 0.2, 1.2, 3.0, 1.4, 0.6, 0.5, 0.4]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,5,TGP,T gap,37103,0,0,0,0,0,0,,other HadISD QC flag,not used for PrivSAF real-streak evidence,"[3952, 5921, 98, 188, 110, 68, 37, 31]","[38.0, 56.9, 0.9, 1.8, 1.1, 0.7, 0.4, 0.3]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,6,DGP,Td gap,37103,7,0,7,6,2,0,,other HadISD QC flag,not used for PrivSAF real-streak evidence,"[2694, 6921, 184, 226, 163, 90, 36, 91]","[25.9, 66.5, 1.8, 2.2, 1.6, 0.9, 0.3, 0.9]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,7,SGP,SLP gap,37103,0,0,0,0,0,0,,other HadISD QC flag,not used for PrivSAF real-streak evidence,"[5164, 4455, 139, 155, 111, 85, 115, 181]","[49.6, 42.8, 1.3, 1.5, 1.1, 0.8, 1.1, 1.7]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,8,TRC,T records,37103,0,0,0,0,0,0,,other HadISD QC flag,not used for PrivSAF real-streak evidence,"[9869, 530, 2, 1, 1, 1, 0, 1]","[94.8, 5.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,9,DRC,Td records,37103,0,0,0,0,0,0,,other HadISD QC flag,not used for PrivSAF real-streak evidence,"[10387, 17, 0, 1, 0, 0, 0, 0]","[99.8, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,10,WRC,Ws records,37103,0,0,0,0,0,0,,other HadISD QC flag,not used for PrivSAF real-streak evidence,"[10405, 0, 0, 0, 0, 0, 0, 0]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,11,PRC,SLP record,37103,0,0,0,0,0,0,,other HadISD QC flag,not used for PrivSAF real-streak evidence,"[9146, 1202, 22, 21, 3, 3, 2, 6]","[87.9, 11.6, 0.2, 0.2, 0.0, 0.0, 0.0, 0.1]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,12,TSS,T straight string,37103,13,0,13,3,5,1,temperatures,direct repeated-value QC flag,semantic candidate; needs multi-station PM-LDP operator run,"[5509, 2836, 437, 577, 428, 353, 233, 32]","[52.9, 27.3, 4.2, 5.5, 4.1, 3.4, 2.2, 0.3]"
HadISD v3.4.3.2025f,702606-96401,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_702606-96401.nc.gz,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html,13,DSS,Td straight strings,37103,13,0,13,3,9,1,dewpoints,direct repeated-value QC flag,semantic candidate; needs multi-station PM-LDP operator run,"[4848, 2727, 427, 644, 570, 668, 463, 58]","[46.6, 26.2, 4.1, 6.2, 5.5, 6.4, 4.4, 0.6]"
