dataset_id,dataset,target,epsilon,seed,episode_id,label,start,end,length,flatline_bin,method,score,predicted_bucket,value_hit
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,1,5812,5824,12,0,privsaf_hmm_scan,0.43165400967474093,1,1.0
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,1508,1520,12,0,privsaf_hmm_scan,0.06775052677727851,12,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,3196,3208,12,0,privsaf_hmm_scan,0.3002304106201464,0,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,6327,6339,12,0,privsaf_hmm_scan,0.05865014311462358,3,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,6887,6899,12,0,privsaf_hmm_scan,0.5167400252564032,3,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,275,287,12,0,privsaf_hmm_scan,0.14137921360105943,18,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,1,5812,5824,12,0,privatized_bucket_count,0.0,,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,1508,1520,12,0,privatized_bucket_count,0.0,,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,3196,3208,12,0,privatized_bucket_count,0.0,,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,6327,6339,12,0,privatized_bucket_count,0.0,,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,6887,6899,12,0,privatized_bucket_count,0.16666666666666666,,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,275,287,12,0,privatized_bucket_count,0.0,,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,1,5812,5824,12,0,identity_channel_hmm_scan,0.0056030478162825345,,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,1508,1520,12,0,identity_channel_hmm_scan,0.025287248162015514,,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,3196,3208,12,0,identity_channel_hmm_scan,0.0012949618090970043,,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,6327,6339,12,0,identity_channel_hmm_scan,0.006073604393971271,,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,6887,6899,12,0,identity_channel_hmm_scan,0.0032609290962689365,,
air_quality,UCI Air Quality,C6H6(GT),1.0,0,0,0,275,287,12,0,identity_channel_hmm_scan,0.026197499238551896,,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,1,5812,5824,12,0,privsaf_hmm_scan,0.37096611402899105,4,0.0
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,0,1508,1520,12,0,privsaf_hmm_scan,0.13977497589319762,11,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,0,3196,3208,12,0,privsaf_hmm_scan,0.31687225750441445,1,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,0,6327,6339,12,0,privsaf_hmm_scan,0.32357696620943766,4,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,0,6887,6899,12,0,privsaf_hmm_scan,0.3612546805498404,2,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,0,275,287,12,0,privsaf_hmm_scan,0.4496051481089838,4,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,1,5812,5824,12,0,privatized_bucket_count,0.0,,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,0,1508,1520,12,0,privatized_bucket_count,0.08333333333333333,,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,0,3196,3208,12,0,privatized_bucket_count,0.0,,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,0,6327,6339,12,0,privatized_bucket_count,0.0,,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,0,6887,6899,12,0,privatized_bucket_count,0.08333333333333333,,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,0,275,287,12,0,privatized_bucket_count,0.0,,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,1,5812,5824,12,0,identity_channel_hmm_scan,0.002684484742076077,,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,0,1508,1520,12,0,identity_channel_hmm_scan,0.002245736761486808,,
air_quality,UCI Air Quality,C6H6(GT),1.0,1,0,0,3196,3208,12,0,identity_channel_hmm_scan,0.14750825857004,,
