dataset_id,dataset,target,rank,start,end,length,value,range,flank_delta,score,label_type
air_quality,UCI Air Quality,C6H6(GT),1,7406,7414,8,-1.0,0.0,0.23719879518072284,111.36931803688188,weak_native_flatline_candidate
air_quality,UCI Air Quality,C6H6(GT),2,5812,5824,12,-0.9994979919678716,0.0060240963855421326,0.14369979919678733,82.63325727776578,weak_native_flatline_candidate
air_quality,UCI Air Quality,C6H6(GT),3,8161,8169,8,-0.9992469879518072,0.0060240963855421326,0.16603915662650592,77.9585226258173,weak_native_flatline_candidate
air_quality,UCI Air Quality,C6H6(GT),4,7430,7438,8,-1.0,0.0,0.15625,73.36232854810474,weak_native_flatline_candidate
bike_sharing,UCI Bike Sharing,cnt,1,14694,14702,8,1.0,0.0,1.4150900900900902,1110.687976548781,weak_native_flatline_candidate
bike_sharing,UCI Bike Sharing,cnt,2,10472,10480,8,1.0,0.0,1.3916666666666666,1092.3032002379305,weak_native_flatline_candidate
bike_sharing,UCI Bike Sharing,cnt,3,15174,15182,8,1.0,0.0,1.3207207207207208,1036.6185412194893,weak_native_flatline_candidate
bike_sharing,UCI Bike Sharing,cnt,4,15006,15014,8,1.0,0.0,1.309009009009009,1027.426153064064,weak_native_flatline_candidate
bike_sharing,UCI Bike Sharing,cnt,5,11982,11990,8,1.0,0.0,1.3,1020.3550852521986,weak_native_flatline_candidate
bike_sharing,UCI Bike Sharing,cnt,6,14838,14846,8,1.0,0.0,1.2986486486486486,1019.2944250804187,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,1,23386,23419,33,1.0,0.0,1.6213126843657817,1578.6776223017396,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,2,23964,23997,33,1.0,0.0,1.0025811209439528,976.2166147460608,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,3,15936,15951,15,1.0,0.0,1.3764749262536873,903.6154269620222,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,4,7688,7706,18,1.0,0.0,1.2223451327433628,879.0221173625309,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,5,25035,25043,8,1.0,0.0,1.814896755162242,870.094894250051,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,6,399,410,11,1.0,0.0,1.0575221238938053,594.5049936712082,weak_native_flatline_candidate
