panel,dataset_id,dataset,case,epsilon,seed,method,calibration,label_rule,n_calibration,n_test,dropout_rows,dropout_rate,normalization_p01,normalization_p99,auroc,auprc,recall_at_5pct_fpr,precision_at_k,estimated_symbol,estimated_dropout_rate,runtime_sec
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,0.5,0,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,1.0,1.0,1.0,1.0,32,0.10574625676967186,8.840000373311341e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,0.5,0,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999867230078991,0.9998551830334517,1.0,0.9964225192995669,32,0.10574625676967186,0.001069399993866682
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,0.5,0,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999999077695528,0.9999992198167101,1.0,0.999623423084165,32,0.10557205094402058,0.44427180000639055
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,0.5,1,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,1.0,1.0,1.0,1.0,32,0.10574625676967186,7.829999958630651e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,0.5,1,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999867230078991,0.9998551830334517,1.0,0.9964225192995669,32,0.10574625676967186,0.0008414000039920211
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,0.5,1,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999999077695528,0.9999992198968842,1.0,0.999623423084165,32,0.10557205094402058,0.5516064999974333
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,0.5,2,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,1.0,1.0,1.0,1.0,32,0.10574625676967186,9.99000039882958e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,0.5,2,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999867230078991,0.9998551830334517,1.0,0.9964225192995669,32,0.10574625676967186,0.0010094000026583672
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,0.5,2,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999999077695528,0.9999992198167705,1.0,0.999623423084165,32,0.10557205094402058,0.5987703999999212
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,1.0,0,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,1.0,1.0,1.0,1.0,32,0.10574625676967186,0.00013309999485500157
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,1.0,0,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999867230078991,0.9998551830334517,1.0,0.9964225192995669,32,0.10574625676967186,0.000975200004177168
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,1.0,0,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999999077695528,0.999999219723198,1.0,0.999623423084165,32,0.10557205094402058,0.7823306000063894
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,1.0,1,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,1.0,1.0,1.0,1.0,32,0.10574625676967186,9.109999518841505e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,1.0,1,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999867230078991,0.9998551830334517,1.0,0.9964225192995669,32,0.10574625676967186,0.0009766000002855435
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,1.0,1,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,0.9999999077695527,0.9999992196964615,1.0,0.999623423084165,32,0.10557205094402058,0.6131597000057809
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2010,1.0,2,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50224,5311,0.10574625676967186,0.0,2.52,1.0,1.0,1.0,1.0,32,0.10574625676967186,0.000106100007542409
