year,selected_for_pmldp_panel,good_rows,all_stuck_rows,persistent_stuck_rows,short_stuck_rows_excluded,persistent_min_episode_length,stuck_episodes,median_stuck_episode_length,max_stuck_episode_length
2003,0,12123,11,0,11,8,11,1.0,1
2004,1,41517,6924,6888,36,8,46,8.0,5916
2005,1,45992,1579,849,730,8,696,1.0,284
2006,1,39230,10266,10041,225,8,200,1.0,3673
2007,1,44444,2202,1638,564,8,524,1.0,602
2008,0,49248,880,346,534,8,503,1.0,250
2009,1,44325,4828,3173,1655,8,1442,1.0,181
2010,1,44913,566,500,66,8,42,1.0,152
2011,0,36767,229,197,32,8,22,1.0,100
2012,0,47912,21,0,21,8,12,1.0,4
2013,0,36976,250,238,12,8,10,3.5,96
2014,0,45033,241,179,62,8,29,2.0,82
2015,1,50683,1228,1228,0,8,8,86.0,359
2016,1,14659,2057,1390,667,8,322,2.0,167
2017,0,21860,51,30,21,8,11,3.0,19
2018,0,47406,45,0,45,8,21,1.0,5
2019,0,47912,43,0,43,8,21,1.0,5
2020,0,33593,28,0,28,8,11,3.0,4
2021,0,51912,45,0,45,8,20,2.0,5
2022,0,30344,115,0,115,8,46,2.0,7
