mechanism,fault_mode,epsilon,method,cases,auroc_mean,auprc_mean,runtime_sec_mean
duchi_binary,bias,0.5,channel_window_glr,3,0.5289684606481481,0.24030371955331106,0.014937033338355832
duchi_binary,bias,0.5,channel_spike_score,3,0.509375,0.2033944318039738,0.0006537999967501188
duchi_binary,bias,0.5,privsaf_mixture,3,0.4704861111111111,0.19148048828862305,0.011565000003126139
duchi_binary,bias,0.5,privsaf_hmm,3,0.30299768518518516,0.14494272673929906,0.3677160999989913
duchi_binary,bias,1.0,channel_window_glr,3,0.5097164351851852,0.24312069106318254,0.015005133333033882
duchi_binary,bias,1.0,channel_spike_score,3,0.5071752025462963,0.20256500626566418,0.0004988000000594184
duchi_binary,bias,1.0,privsaf_mixture,3,0.4605902777777778,0.18919258103957107,0.011531299993900271
duchi_binary,bias,1.0,privsaf_hmm,3,0.3143344907407407,0.14184323793439968,0.36854986666488304
duchi_binary,bias,2.0,channel_spike_score,3,0.5525441261574074,0.22323061422136234,0.0005569000059040263
duchi_binary,bias,2.0,channel_window_glr,3,0.4159440104166667,0.217907706843702,0.014058933331398293
duchi_binary,bias,2.0,privsaf_mixture,3,0.42343749999999997,0.1800384047286071,0.012371533332043327
duchi_binary,bias,2.0,privsaf_hmm,3,0.19628616898148146,0.12264525165010946,0.36851809999886126
duchi_binary,drift,0.5,channel_window_glr,3,0.4680808738425926,0.21990742424404527,0.015125000000504466
duchi_binary,drift,0.5,channel_spike_score,3,0.5046875000000001,0.20168131958619104,0.0005737000028602779
duchi_binary,drift,0.5,privsaf_mixture,3,0.48090277777777773,0.1943750028566205,0.011631833336044414
duchi_binary,drift,0.5,privsaf_hmm,3,0.3434447337962963,0.1551159044434772,0.3671877000015229
duchi_binary,drift,1.0,channel_window_glr,3,0.5164778645833333,0.2541917009517165,0.014748099997329215
duchi_binary,drift,1.0,channel_spike_score,3,0.49657986111111113,0.19900633735851692,0.0007263333294152593
duchi_binary,drift,1.0,privsaf_mixture,3,0.47309027777777773,0.19267093494975832,0.011967966672576344
duchi_binary,drift,1.0,privsaf_hmm,3,0.3748784722222222,0.16581955202870816,0.3663915333357484
duchi_binary,drift,2.0,channel_spike_score,3,0.546115451388889,0.21968721725356297,0.0005257000060131153
duchi_binary,drift,2.0,channel_window_glr,3,0.41404803240740745,0.19300593106257402,0.014298366664055115
duchi_binary,drift,2.0,privsaf_mixture,3,0.4539930555555556,0.18730279582961554,0.011309800005013434
duchi_binary,drift,2.0,privsaf_hmm,3,0.3072974537037037,0.1468948022797311,0.3721572000019175
duchi_binary,scale,0.5,channel_window_glr,3,0.4845182291666667,0.21526064437341685,0.015173866665766885
duchi_binary,scale,0.5,privsaf_hmm,3,0.4186154513888889,0.2037743595474104,0.36949723333721823
duchi_binary,scale,0.5,channel_spike_score,3,0.5019097222222222,0.20064943225479426,0.000605733337579295
duchi_binary,scale,0.5,privsaf_mixture,3,0.4920138888888889,0.1977121222265387,0.011526233337159889
duchi_binary,scale,1.0,channel_window_glr,3,0.5632957175925927,0.2831621055879088,0.014562399999704212
duchi_binary,scale,1.0,privsaf_hmm,3,0.47307146990740745,0.21110160878252857,0.3673511333278536
duchi_binary,scale,1.0,channel_spike_score,3,0.4931119791666667,0.19826988657578215,0.0007485999958589673
duchi_binary,scale,1.0,privsaf_mixture,3,0.4890625,0.19743463139485318,0.011545800002447018
duchi_binary,scale,2.0,channel_window_glr,3,0.6004853877314814,0.33090938682208687,0.015371366665931419
duchi_binary,scale,2.0,privsaf_hmm,3,0.4621513310185185,0.21620197224672486,0.36890196666839375
duchi_binary,scale,2.0,channel_spike_score,3,0.5012977430555555,0.20126766626013345,0.0005218000005697832
duchi_binary,scale,2.0,privsaf_mixture,3,0.48107638888888893,0.19474388584773725,0.01144656666535108
duchi_binary,segment_stuck,0.5,channel_window_glr,3,0.7194075520833333,0.4813457270055331,0.01468403333274182
duchi_binary,segment_stuck,0.5,privsaf_hmm,3,0.3629976851851852,0.2203633707279209,0.3697030666662613
duchi_binary,segment_stuck,0.5,channel_spike_score,3,0.5052083333333334,0.2020857178796893,0.0005791000003227964
duchi_binary,segment_stuck,0.5,privsaf_mixture,3,0.46319444444444446,0.1925689877006759,0.01183113333536312
duchi_binary,segment_stuck,1.0,privsaf_hmm,3,0.9060633680555555,0.7368150992668673,0.37002340000375017
duchi_binary,segment_stuck,1.0,channel_window_glr,3,0.8495008680555555,0.6068867479034236,0.015031099998547385
duchi_binary,segment_stuck,1.0,privsaf_mixture,3,0.6081597222222223,0.2502362546507803,0.012670566667414581
duchi_binary,segment_stuck,1.0,channel_spike_score,3,0.5148256655092592,0.2058903792437571,0.0005183666750478247
duchi_binary,segment_stuck,2.0,privsaf_hmm,3,0.9842303240740741,0.9387531726665551,0.36846310000206967
duchi_binary,segment_stuck,2.0,channel_window_glr,3,0.8682197627314815,0.677590457459186,0.014179333336263275
duchi_binary,segment_stuck,2.0,privsaf_mixture,3,0.5609375,0.2696553160579796,0.01218910000170581
duchi_binary,segment_stuck,2.0,channel_spike_score,3,0.5367390046296295,0.21568153873365956,0.0005836333342206975
duchi_binary,spike,0.5,privsaf_hmm,3,0.5057175925925926,0.20684148777598174,0.36552086667021894
duchi_binary,spike,0.5,channel_spike_score,3,0.5161458333333333,0.2061395636285633,0.0005762666648176188
duchi_binary,spike,0.5,channel_window_glr,3,0.4906155960648148,0.19641871362906968,0.014099233327821517
duchi_binary,spike,0.5,privsaf_mixture,3,0.4855902777777778,0.19589198085045167,0.012023533330648206
duchi_binary,spike,1.0,channel_spike_score,3,0.5240183738425926,0.20872980320658283,0.0005299999999503294
duchi_binary,spike,1.0,privsaf_hmm,3,0.49634403935185184,0.19780930993694776,0.3646045333346895
duchi_binary,spike,1.0,privsaf_mixture,3,0.49010416666666673,0.19692623270377493,0.01138593333113628
duchi_binary,spike,1.0,channel_window_glr,3,0.4861241319444445,0.19662192369527817,0.01487443333705111
duchi_binary,spike,2.0,channel_spike_score,3,0.5221549479166666,0.2087352011899426,0.0006188666690529013
duchi_binary,spike,2.0,channel_window_glr,3,0.5000795717592592,0.20234908466375656,0.01462810000036067
duchi_binary,spike,2.0,privsaf_hmm,3,0.49961660879629627,0.20223974285357996,0.366351100000126
duchi_binary,spike,2.0,privsaf_mixture,3,0.4675347222222222,0.1904145908265825,0.011997066666178094
pm,bias,0.5,channel_window_glr,3,0.5033572048611111,0.2450916656333293,0.01590366666884317
pm,bias,0.5,channel_spike_score,3,0.5084628182870371,0.2111170707120084,0.0005997666642845919
pm,bias,0.5,privsaf_hmm,3,0.3906597222222223,0.2011587462495956,0.36958813333088375
pm,bias,0.5,privsaf_mixture,3,0.4766116898148149,0.19244630144510325,0.012245766668153616
pm,bias,1.0,channel_window_glr,3,0.45368851273148153,0.27299918957102665,0.015313900003093295
pm,bias,1.0,channel_spike_score,3,0.5207530381944444,0.20901180989204693,0.0005400666705099866
pm,bias,1.0,privsaf_mixture,3,0.4470500578703704,0.17748747278824065,0.01173199999902863
pm,bias,1.0,privsaf_hmm,3,0.23881944444444447,0.12938229091108766,0.368953133331767
pm,bias,2.0,channel_window_glr,3,0.5171650752314815,0.2531143404603858,0.014511866659934943
pm,bias,2.0,channel_spike_score,3,0.5140625,0.1985528630698928,0.0006202333364247655
pm,bias,2.0,privsaf_mixture,3,0.40679398148148144,0.16423138057837802,0.012736200000896739
pm,bias,2.0,privsaf_hmm,3,0.20597222222222222,0.12335573078393264,0.3681233333336422
pm,drift,0.5,channel_window_glr,3,0.5182877604166667,0.21866778219075275,0.015274966669191295
pm,drift,0.5,channel_spike_score,3,0.49684172453703707,0.20754101994982851,0.0005617000036484873
pm,drift,0.5,privsaf_hmm,3,0.39341724537037037,0.19699515453705718,0.36902066666516475
pm,drift,0.5,privsaf_mixture,3,0.48033203124999996,0.19051914699364322,0.012295599997742102
pm,drift,1.0,channel_window_glr,3,0.5346903935185185,0.25441407551495726,0.015370133328057515
pm,drift,1.0,channel_spike_score,3,0.5176251446759259,0.2077235121631937,0.0007413999943916375
pm,drift,1.0,privsaf_mixture,3,0.4559403935185185,0.18183028747004748,0.011550000000473423
pm,drift,1.0,privsaf_hmm,3,0.31787181712962964,0.15086623224897988,0.36715423333710834
pm,drift,2.0,channel_window_glr,3,0.5285054976851852,0.292879721578682,0.015423700000004223
pm,drift,2.0,privsaf_hmm,3,0.3302777777777777,0.2264806588867828,0.37024993334004347
pm,drift,2.0,channel_spike_score,3,0.5040075231481481,0.19626060804439946,0.0006641333311563358
pm,drift,2.0,privsaf_mixture,3,0.45272497106481485,0.17803219284752406,0.011532233329489827
pm,scale,0.5,privsaf_hmm,3,0.5420225694444444,0.3025026486088832,0.37527503333209705
pm,scale,0.5,channel_window_glr,3,0.6166167534722223,0.284402905097997,0.016010866670209605
pm,scale,0.5,channel_spike_score,3,0.49543619791666665,0.20585398391880705,0.0006086666641446451
pm,scale,0.5,privsaf_mixture,3,0.4942795138888889,0.20189109490730936,0.011370199999267546
pm,scale,1.0,channel_window_glr,3,0.5991804108796296,0.3022554889170496,0.015406266664892124
pm,scale,1.0,channel_spike_score,3,0.515549045138889,0.21335565645049578,0.0010842666670214385
pm,scale,1.0,privsaf_hmm,3,0.5030092592592592,0.20495827560625945,0.36756833333250444
pm,scale,1.0,privsaf_mixture,3,0.48827256944444447,0.1951379193273599,0.01157746666770739
pm,scale,2.0,privsaf_hmm,3,0.5884953703703704,0.3593183994558306,0.3680887999944389
pm,scale,2.0,channel_window_glr,3,0.6323162615740742,0.3549745183821229,0.015821133337643307
pm,scale,2.0,privsaf_mixture,3,0.545964988425926,0.2380769871619199,0.012159666662531285
pm,scale,2.0,channel_spike_score,3,0.4971252893518518,0.20098713829330003,0.0005631000046075011
pm,segment_stuck,0.5,channel_window_glr,3,0.7394299768518519,0.5110903350917232,0.015392166669092452
pm,segment_stuck,0.5,privsaf_hmm,3,0.6230324074074074,0.33558128496623224,0.37041843333281577
pm,segment_stuck,0.5,privsaf_mixture,3,0.5199884259259259,0.2198249960931283,0.012250933330506086
pm,segment_stuck,0.5,channel_spike_score,3,0.4971383101851852,0.19552452996164982,0.0008740999959021186
pm,segment_stuck,1.0,privsaf_hmm,3,0.9875303819444444,0.9543069429590694,0.36916976667028695
pm,segment_stuck,1.0,channel_window_glr,3,0.9006394675925926,0.6473847984186353,0.015874800000650186
pm,segment_stuck,1.0,privsaf_mixture,3,0.6787196180555556,0.3150034197365747,0.011922166663377235
pm,segment_stuck,1.0,channel_spike_score,3,0.49369429976851853,0.20562616970671596,0.0005510333382214109
pm,segment_stuck,2.0,privsaf_hmm,3,0.9979542824074074,0.9928842862850625,0.36500123333341133
