panel,dataset_id,dataset,mechanism,mechanism_label,fault_mode,epsilon,seed,method,n_test,fault_rows,fault_rate,auroc,auprc,estimated_bucket,estimated_fault_rate,runtime_sec,param_stuck_value,param_segment_length,param_bias,param_scale_factor,param_spike_magnitude
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,0.5,0,channel_window_glr,1200,240,0.2,0.6749956597222222,0.4536989756010651,23,0.19416666666666665,0.016414700003224425,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,0.5,0,channel_spike_score,1200,240,0.2,0.4813802083333334,0.1879432091341184,0,0.03928704963399275,0.0011091999913332984,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,0.5,0,privsaf_mixture,1200,240,0.2,0.5894140625,0.2497776180324583,23,0.2190909090909091,0.011269499998888932,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,0.5,0,privsaf_hmm,1200,240,0.2,0.8144270833333334,0.5657702185359295,23,0.21897313203352856,0.36976770000183024,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,0.5,0,channel_window_glr,1200,240,0.2,0.6666232638888889,0.4354786151951672,31,0.15666666666666668,0.014346199997817166,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,0.5,0,channel_spike_score,1200,240,0.2,0.503125,0.2010143198090692,0,0.03135723868487592,0.0005264999927021563,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,0.5,0,privsaf_mixture,1200,240,0.2,0.4276041666666667,0.18150701499758104,3,0.4909090909090909,0.011123500007670373,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,0.5,0,privsaf_hmm,1200,240,0.2,0.17986979166666667,0.1207603147131789,0,0.22851279688883389,0.3724942999979248,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,0.5,1,channel_window_glr,1200,240,0.2,0.7915733506944445,0.5028760278863357,23,0.14833333333333334,0.01481910000438802,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,0.5,1,channel_spike_score,1200,240,0.2,0.48993055555555554,0.19255801328152972,0,0.04167693070471024,0.0005911999905947596,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,0.5,1,privsaf_mixture,1200,240,0.2,0.5269118923611111,0.22645758379674696,10,0.4212121212121212,0.013945800004876219,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,0.5,1,privsaf_hmm,1200,240,0.2,0.7155468749999999,0.2890732573340034,10,0.22633391670182904,0.37147420000110287,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,0.5,1,channel_window_glr,1200,240,0.2,0.7716710069444445,0.6471223209132873,31,0.185,0.01444850000552833,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,0.5,1,channel_spike_score,1200,240,0.2,0.48697916666666663,0.19609053497942389,0,0.030309502786097252,0.0005402000097092241,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,0.5,1,privsaf_mixture,1200,240,0.2,0.41770833333333335,0.17980334316617502,5,0.42818181818181816,0.01295879999815952,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,0.5,1,privsaf_hmm,1200,240,0.2,0.13813368055555553,0.11534200056164971,0,0.21797020066991024,0.36885650000476744,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,0.5,2,channel_window_glr,1200,240,0.2,0.751720920138889,0.5766960017877688,26,0.18166666666666667,0.01494269999966491,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,0.5,2,channel_spike_score,1200,240,0.2,0.5201041666666667,0.20607236746930135,0,0.04051846699819719,0.0009219000057782978,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,0.5,2,privsaf_mixture,1200,240,0.2,0.4436393229166667,0.1832397864501796,7,0.44212121212121214,0.011537499987753108,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,0.5,2,privsaf_hmm,1200,240,0.2,0.33912326388888886,0.15190037902876374,7,0.21825514064555104,0.3700133999955142,0.4277108433734942,48.0,,,
