status,epsilon,segment_length,delta_score_mix_minus_hmm,expected_selection
expected_not_measured,0.5,1,-0.1266,mixture
expected_not_measured,0.5,2,0.0534,HMM
expected_not_measured,0.5,4,0.2334,HMM
expected_not_measured,0.5,8,0.4134,HMM
expected_not_measured,0.5,16,0.5934,HMM
expected_not_measured,0.5,32,0.7734,HMM
expected_not_measured,0.5,64,0.9534,HMM
expected_not_measured,1.0,1,-0.11,mixture
expected_not_measured,1.0,2,0.07,HMM
expected_not_measured,1.0,4,0.25,HMM
expected_not_measured,1.0,8,0.43,HMM
expected_not_measured,1.0,16,0.61,HMM
expected_not_measured,1.0,32,0.79,HMM
expected_not_measured,1.0,64,0.97,HMM
expected_not_measured,2.0,1,-0.0866,mixture
expected_not_measured,2.0,2,0.0934,HMM
expected_not_measured,2.0,4,0.2734,HMM
expected_not_measured,2.0,8,0.4534,HMM
expected_not_measured,2.0,16,0.6334,HMM
expected_not_measured,2.0,32,0.8134,HMM
expected_not_measured,2.0,64,0.9934,HMM
expected_not_measured,4.0,1,-0.0571,mixture
expected_not_measured,4.0,2,0.1229,HMM
expected_not_measured,4.0,4,0.3029,HMM
expected_not_measured,4.0,8,0.4829,HMM
expected_not_measured,4.0,16,0.6629,HMM
expected_not_measured,4.0,32,0.8429,HMM
expected_not_measured,4.0,64,1.0229,HMM
