benchmark,task,epsilon,best_method,best_auroc,best_auprc,best_cases,best_privsaf_method,best_privsaf_auroc,best_privsaf_auprc,low_epsilon
Air Quality mechanism/fault extension,duchi_binary_bias,0.5,channel_window_glr,0.5289684606481481,0.240303719553311,3,privsaf_mixture,0.470486111111111,0.191480488288623,True
Air Quality mechanism/fault extension,duchi_binary_bias,1.0,channel_window_glr,0.5097164351851852,0.2431206910631825,3,privsaf_mixture,0.4605902777777778,0.18919258103957104,True
Air Quality mechanism/fault extension,duchi_binary_bias,2.0,channel_window_glr,0.4159440104166667,0.217907706843702,3,privsaf_mixture,0.42343749999999997,0.18003840472860708,False
Air Quality mechanism/fault extension,duchi_binary_drift,0.5,channel_window_glr,0.46808087384259256,0.21990742424404522,3,privsaf_mixture,0.48090277777777773,0.19437500285662046,True
Air Quality mechanism/fault extension,duchi_binary_drift,1.0,channel_window_glr,0.5164778645833333,0.25419170095171645,3,privsaf_mixture,0.47309027777777773,0.1926709349497583,True
Air Quality mechanism/fault extension,duchi_binary_drift,2.0,channel_window_glr,0.41404803240740745,0.19300593106257402,3,privsaf_mixture,0.4539930555555556,0.18730279582961548,False
Air Quality mechanism/fault extension,duchi_binary_scale,0.5,channel_window_glr,0.4845182291666667,0.21526064437341685,3,privsaf_hmm,0.4186154513888889,0.20377435954741033,True
Air Quality mechanism/fault extension,duchi_binary_scale,1.0,channel_window_glr,0.5632957175925927,0.2831621055879087,3,privsaf_hmm,0.4730714699074074,0.2111016087825285,True
Air Quality mechanism/fault extension,duchi_binary_scale,2.0,channel_window_glr,0.6004853877314814,0.33090938682208687,3,privsaf_hmm,0.4621513310185185,0.21620197224672486,False
Air Quality mechanism/fault extension,duchi_binary_segment_stuck,0.5,channel_window_glr,0.7194075520833333,0.4813457270055331,3,privsaf_hmm,0.3629976851851852,0.2203633707279209,True
Air Quality mechanism/fault extension,duchi_binary_segment_stuck,1.0,privsaf_hmm,0.9060633680555555,0.7368150992668673,3,privsaf_hmm,0.9060633680555555,0.7368150992668673,True
Air Quality mechanism/fault extension,duchi_binary_segment_stuck,2.0,privsaf_hmm,0.9842303240740741,0.9387531726665551,3,privsaf_hmm,0.9842303240740741,0.9387531726665551,False
Air Quality mechanism/fault extension,pm_bias,0.5,channel_window_glr,0.503357204861111,0.24509166563332926,3,privsaf_hmm,0.39065972222222217,0.2011587462495956,True
Air Quality mechanism/fault extension,pm_bias,1.0,channel_window_glr,0.45368851273148153,0.27299918957102665,3,privsaf_mixture,0.4470500578703704,0.17748747278824062,True
Air Quality mechanism/fault extension,pm_bias,2.0,channel_window_glr,0.5171650752314815,0.2531143404603858,3,privsaf_mixture,0.40679398148148144,0.16423138057837802,False
Air Quality mechanism/fault extension,pm_drift,0.5,channel_window_glr,0.5182877604166667,0.21866778219075275,3,privsaf_hmm,0.3934172453703703,0.19699515453705718,True
Air Quality mechanism/fault extension,pm_drift,1.0,channel_window_glr,0.5346903935185184,0.25441407551495715,3,privsaf_mixture,0.4559403935185185,0.18183028747004748,True
Air Quality mechanism/fault extension,pm_drift,2.0,channel_window_glr,0.5285054976851852,0.29287972157868186,3,privsaf_hmm,0.3302777777777777,0.2264806588867828,False
Air Quality mechanism/fault extension,pm_scale,0.5,privsaf_hmm,0.5420225694444444,0.30250264860888315,3,privsaf_hmm,0.5420225694444444,0.30250264860888315,True
Air Quality mechanism/fault extension,pm_scale,1.0,channel_window_glr,0.5991804108796296,0.3022554889170496,3,privsaf_hmm,0.5030092592592592,0.20495827560625943,True
Air Quality mechanism/fault extension,pm_scale,2.0,privsaf_hmm,0.5884953703703704,0.3593183994558306,3,privsaf_hmm,0.5884953703703704,0.3593183994558306,False
Air Quality mechanism/fault extension,pm_segment_stuck,0.5,channel_window_glr,0.7394299768518519,0.5110903350917232,3,privsaf_hmm,0.6230324074074073,0.33558128496623213,True
Air Quality mechanism/fault extension,pm_segment_stuck,1.0,privsaf_hmm,0.9875303819444444,0.9543069429590694,3,privsaf_hmm,0.9875303819444444,0.9543069429590694,True
Air Quality mechanism/fault extension,pm_segment_stuck,2.0,privsaf_hmm,0.9979542824074074,0.9928842862850625,3,privsaf_hmm,0.9979542824074074,0.9928842862850625,False
I-ORS real dropout-QC PM-LDP,real_dropout_qc,0.5,missing_symbol,1.0,1.0,24,privsaf_dropout_hmm,0.9999977250786345,0.9999854506631554,True
I-ORS real dropout-QC PM-LDP,real_dropout_qc,1.0,missing_symbol,1.0,1.0,24,privsaf_dropout_hmm,0.9999977250786345,0.999985446126721,True
I-ORS real dropout-QC PM-LDP,real_dropout_qc,2.0,missing_symbol,1.0,1.0,24,privsaf_dropout_hmm,0.9999977250786345,0.999985445384744,False
I-ORS real dropout-QC PM-LDP,real_dropout_qc,4.0,missing_symbol,1.0,1.0,24,privsaf_dropout_hmm,0.9999977250786345,0.9999854452480567,False
I-ORS real stuck-QC PM-LDP,real_stuck_qc,0.5,pm_llr_cusum,0.7283654266495767,0.38896576821175227,24,privsaf_hmm_global,0.6536489369232586,0.2121288811899037,True
I-ORS real stuck-QC PM-LDP,real_stuck_qc,1.0,pm_llr_cusum,0.8924023288337066,0.5161377190365313,24,privsaf_hmm_global,0.7020675598364307,0.33161487469037865,True
I-ORS real stuck-QC PM-LDP,real_stuck_qc,2.0,pm_window_glr,0.9259420790531433,0.6510137520833582,24,privsaf_hmm_global,0.7151764639012095,0.34831198797465523,False
I-ORS real stuck-QC PM-LDP,real_stuck_qc,4.0,pm_window_glr,0.953667246136276,0.7818298001286786,24,privsaf_hmm_global,0.7113926578639739,0.3958317274058583,False
