query_name,rep,input_rows,output_rows,elapsed_ms,throughput_rows_per_sec,query
candidate_likelihood_materialized_counts,0,200000,96,833.3173979772255,240004.58947032088,"select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from mv_report_counts c join mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket"
candidate_likelihood_materialized_counts,1,200000,96,763.7123410240747,261878.70649283557,"select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from mv_report_counts c join mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket"
candidate_likelihood_materialized_counts,2,200000,96,696.033690997865,287342.4125680914,"select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from mv_report_counts c join mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket"
candidate_topk,0,200000,10,467.839624005137,427496.9235991946,"select epsilon, stuck_bucket, llr from candidate_likelihoods order by llr desc limit 10"
candidate_topk,1,200000,10,477.3470580112189,418982.3664845955,"select epsilon, stuck_bucket, llr from candidate_likelihoods order by llr desc limit 10"
candidate_topk,2,200000,10,446.8894529854879,447537.97312485403,"select epsilon, stuck_bucket, llr from candidate_likelihoods order by llr desc limit 10"
privacy_budget_trace,0,200000,1,437.72504999651574,456907.8237619528,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privacy_budget_trace where remaining_budget < 1000.0"
privacy_budget_trace,1,200000,1,313.21449199458584,638540.0583682352,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privacy_budget_trace where remaining_budget < 1000.0"
privacy_budget_trace,2,200000,1,308.6603019910399,647961.525048355,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privacy_budget_trace where remaining_budget < 1000.0"
repair_dashboard,0,200000,2000,405.22797900484875,493549.33608275576,"select device_id, count(*) as hourly_groups, avg(cleaned_mean) as avg_cleaned_mean, sum(repair_count) as repaired_reports, avg(uncertainty_proxy) as avg_uncertainty_proxy from repair_uncertainty_analytics group by device_id"
repair_dashboard,1,200000,2000,402.7972019976005,496527.7787634469,"select device_id, count(*) as hourly_groups, avg(cleaned_mean) as avg_cleaned_mean, sum(repair_count) as repaired_reports, avg(uncertainty_proxy) as avg_uncertainty_proxy from repair_uncertainty_analytics group by device_id"
repair_dashboard,2,200000,2000,413.62101200502366,483534.4293330313,"select device_id, count(*) as hourly_groups, avg(cleaned_mean) as avg_cleaned_mean, sum(repair_count) as repaired_reports, avg(uncertainty_proxy) as avg_uncertainty_proxy from repair_uncertainty_analytics group by device_id"
end_to_end_dashboard,0,200000,1,633.8987750059459,315507.78749828634,"select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy from repair_uncertainty_analytics h join privacy_ledger l using(device_id) left join cleaned_event_windows e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
end_to_end_dashboard,1,200000,1,600.2140359778423,333214.46685959084,"select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy from repair_uncertainty_analytics h join privacy_ledger l using(device_id) left join cleaned_event_windows e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
end_to_end_dashboard,2,200000,1,661.0259379958734,302559.9882001129,"select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy from repair_uncertainty_analytics h join privacy_ledger l using(device_id) left join cleaned_event_windows e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
