batch_id,batch_kind,input_events,accepted_new_events,duplicate_events,correction_events,rejected_budget_events,late_events,watermark_before,watermark_after,elapsed_ms
0,base,6000,6000,0,0,0,0,-1,9,1119.1441850096453
1,base,6000,6000,0,0,0,0,9,19,1737.6130069897044
2,base,6000,6000,0,0,0,0,19,29,2359.0785000124015
3,base,6000,6000,0,0,0,0,29,39,2990.604447986698
4,replay_batch_3,6000,0,6000,0,0,5400,39,39,2469.336875976296
5,base,6000,6000,0,0,0,0,39,49,3590.9044760046527
6,base,6000,6000,0,0,0,0,49,59,4170.372553984635
7,base,6000,4000,0,0,2000,0,59,69,4523.671076982282
8,base,6000,4000,0,0,2000,0,69,79,4996.430839993991
9,replay_previous,6000,0,4000,0,2000,6000,79,79,4438.975709985243
10,base,6000,4000,0,0,2000,0,79,89,5338.322473020526
11,base,6000,4000,0,0,2000,0,89,99,5733.078771998407
12,base,6000,4000,0,0,2000,0,99,109,6154.08372998354
13,base,6000,4000,0,0,2000,0,109,119,6536.244132003048
14,late_corrections,120,0,0,120,0,120,119,119,141.4352820138447
