check,expected,observed,status,note
cleaning_covers_reports,60000,60000,pass,
provenance_covers_reports,60000,60000,pass,
unique_report_ids,60000,60000,pass,
budget_guard_rejects_some_events,>0,14000,pass,
device_budget_not_exceeded,<= 120.0,120.0,pass,
replayed_batches_insert_no_new_rows,0,0,pass,
replayed_batches_detect_duplicates,>0,10000,pass,
late_corrections_applied,>0,120,pass,
late_corrections_have_lineage,120,120,pass,
event_windows_materialized,>0,1000,pass,
repair_analytics_materialized,>0,1000,pass,
privacy_trace_covers_reports,60000,60000,pass,
sqlite_integrity_check,ok,ok,pass,
