query_name,plan_step,detail
batch_replay_audit,0,SCAN batch_manifest
batch_replay_audit,1,USE TEMP B-TREE FOR GROUP BY
budget_guard_dashboard,0,SCAN device_budget_state
rejected_event_drilldown,0,SCAN rejected_events USING INDEX idx_rejected_device_ts
rejected_event_drilldown,1,USE TEMP B-TREE FOR ORDER BY
late_correction_lineage,0,SCAN p
late_correction_lineage,1,SEARCH r USING INTEGER PRIMARY KEY (rowid=?)
late_correction_lineage,2,SEARCH c USING INTEGER PRIMARY KEY (rowid=?)
late_correction_lineage,3,USE TEMP B-TREE FOR ORDER BY
candidate_topk,0,SCAN candidate_likelihoods
candidate_topk,1,USE TEMP B-TREE FOR ORDER BY
privacy_trace_window,0,SCAN privacy_budget_trace
privacy_trace_window,1,USE TEMP B-TREE FOR GROUP BY
privacy_trace_window,2,USE TEMP B-TREE FOR ORDER BY
event_window_uncertainty_join,0,SCAN e
event_window_uncertainty_join,1,SEARCH a USING INDEX sqlite_autoindex_repair_uncertainty_analytics_1 (device_id=? AND hour_id=?)
event_window_uncertainty_join,2,USE TEMP B-TREE FOR ORDER BY
end_to_end_dashboard,0,SCAN a
end_to_end_dashboard,1,SEARCH d USING INTEGER PRIMARY KEY (rowid=?)
end_to_end_dashboard,2,SEARCH e USING INDEX sqlite_autoindex_cleaned_event_windows_1 (device_id=? AND hour_id=?) LEFT-JOIN
end_to_end_dashboard,3,USE TEMP B-TREE FOR GROUP BY
end_to_end_dashboard,4,USE TEMP B-TREE FOR count(DISTINCT)
