scale_rows,devices,db_file_bytes,design,stage,input_rows,output_rows,elapsed_sec,throughput_rows_per_sec,query
200000,2000,30838784,heap_base,create_base_schema,1,1,0.0003230860020266846,3095.151116814424,"pragma journal_mode = wal; pragma synchronous = normal; pragma temp_store = memory; create table reports( report_id integer primary key, device_id integer not null, ts integer not null, report_bucket integer not null, epsilon real not null, mechanism_id text not null, calibration_version text not null ); create table mechanism_weights( mechanism_id text not null, epsilon real not null, report_bucket integer not null, stuck_bucket integer not null, logp_normal real not null, logp_fault real not null, primary key(mechanism_id, epsilon, report_bucket, stuck_bucket) ); create table router_policy( operator text primary key, semantic_layer text not null, output_relation text not null, privacy_effect text not null ); create table cleaning_records( report_id integer primary key, device_id integer not null, ts integer not null, operator text not null, posterior real not null, stuck_bucket integer, fault_ratio real not null, action text not null, repair_value real, provenance_version text not null ); create table provenance_edges( output_report_id integer not null, source_table text not null, source_key integer not null, transform text not null, mechanism_id text not null, calibration_version text not null ); create table privacy_ledger( device_id integer primary key, reports integer not null, epsilon_sum real not null, device_budget real not null, remaining_budget real not null );"
200000,2000,30838784,heap_base,load_mechanism_matrix,3072,3072,0.0021738569921581075,1413156.4362705646,"insert into mechanism_weights values (?, ?, ?, ?, ?, ?)"
200000,2000,30838784,heap_base,load_router_policy,3,3,9.171009878627956e-06,327117.7372724431,"insert into router_policy values (?, ?, ?, ?)"
200000,2000,30838784,heap_base,ingest_reports,200000,200000,0.09011605000705458,2219360.480007095,"insert into reports values (?, ?, ?, ?, ?, ?, ?)"
200000,2000,30838784,heap_base,materialize_device_privacy_ledger,200000,2000,0.03157654700044077,6333814.777062491,"insert into privacy_ledger select device_id, count(*), sum(epsilon), 1000.0, 1000.0 - sum(epsilon) from reports group by device_id"
200000,2000,30838784,heap_base,derive_cleaning_records,200000,200000,0.07357666299503762,2718253.205007259,"insert into cleaning_records select report_id, device_id, ts, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.80 then 'privsaf_hmm' when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then 'pm_window_glr' else 'privsaf_mixture' end as operator, ((report_bucket * 17 + device_id) % 100) / 100.0 as posterior, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then report_bucket else null end, 0.20 as fault_ratio, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.80 then 'repair' when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then 'flag' else 'pass' end as action, (2.0 * report_bucket / 31.0) - 1.0 as repair_value, 'router_v1' as provenance_version from reports"
200000,2000,30838784,heap_base,write_provenance_edges,200000,200000,0.02334077699924819,8568695.03557838,"insert into provenance_edges select report_id, 'reports', report_id, operator, 'pm32', 'cal_v1' from cleaning_records"
200000,2000,47730688,indexed_base,create_base_schema,1,1,0.00027639900508802384,3617.958030209021,"pragma journal_mode = wal; pragma synchronous = normal; pragma temp_store = memory; create table reports( report_id integer primary key, device_id integer not null, ts integer not null, report_bucket integer not null, epsilon real not null, mechanism_id text not null, calibration_version text not null ); create table mechanism_weights( mechanism_id text not null, epsilon real not null, report_bucket integer not null, stuck_bucket integer not null, logp_normal real not null, logp_fault real not null, primary key(mechanism_id, epsilon, report_bucket, stuck_bucket) ); create table router_policy( operator text primary key, semantic_layer text not null, output_relation text not null, privacy_effect text not null ); create table cleaning_records( report_id integer primary key, device_id integer not null, ts integer not null, operator text not null, posterior real not null, stuck_bucket integer, fault_ratio real not null, action text not null, repair_value real, provenance_version text not null ); create table provenance_edges( output_report_id integer not null, source_table text not null, source_key integer not null, transform text not null, mechanism_id text not null, calibration_version text not null ); create table privacy_ledger( device_id integer primary key, reports integer not null, epsilon_sum real not null, device_budget real not null, remaining_budget real not null );"
200000,2000,47730688,indexed_base,load_mechanism_matrix,3072,3072,0.0020826529944315553,1475041.6935580187,"insert into mechanism_weights values (?, ?, ?, ?, ?, ?)"
200000,2000,47730688,indexed_base,load_router_policy,3,3,8.137008990161121e-06,368685.8406605493,"insert into router_policy values (?, ?, ?, ?)"
