design,check,expected,observed,status
heap_base,reports,200000,200000,pass
heap_base,cleaning_records,200000,200000,pass
heap_base,provenance_edges,200000,200000,pass
indexed_base,reports,200000,200000,pass
indexed_base,cleaning_records,200000,200000,pass
indexed_base,provenance_edges,200000,200000,pass
materialized_batch,reports,200000,200000,pass
materialized_batch,cleaning_records,200000,200000,pass
materialized_batch,provenance_edges,200000,200000,pass
materialized_batch,mv_report_counts_sum,200000,200000,pass
materialized_batch,repair_groups_nonempty,1,1,pass
incremental_mv,reports,200000,200000,pass
incremental_mv,cleaning_records,200000,200000,pass
incremental_mv,provenance_edges,200000,200000,pass
incremental_mv,mv_report_counts_sum,200000,200000,pass
incremental_mv,privacy_ledger_inc_sum,200000,200000,pass
incremental_mv,repair_groups_nonempty,1,1,pass
