design,query_name,query_family,plan_step,detail
heap_base,candidate_likelihood_topk,query_processing,0,SCAN r
heap_base,candidate_likelihood_topk,query_processing,1,SEARCH w USING INDEX sqlite_autoindex_mechanism_weights_1 (mechanism_id=? AND epsilon=? AND report_bucket=?)
heap_base,candidate_likelihood_topk,query_processing,2,USE TEMP B-TREE FOR GROUP BY
heap_base,candidate_likelihood_topk,query_processing,3,USE TEMP B-TREE FOR ORDER BY
heap_base,privacy_budget_accounting,privacy_accounting,0,CO-ROUTINE (subquery-1)
heap_base,privacy_budget_accounting,privacy_accounting,1,CO-ROUTINE (subquery-3)
heap_base,privacy_budget_accounting,privacy_accounting,2,SCAN reports
heap_base,privacy_budget_accounting,privacy_accounting,3,USE TEMP B-TREE FOR ORDER BY
heap_base,privacy_budget_accounting,privacy_accounting,4,SCAN (subquery-3)
heap_base,privacy_budget_accounting,privacy_accounting,5,SCAN (subquery-1)
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,0,CO-ROUTINE hourly
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,1,SCAN r
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,2,SEARCH c USING INTEGER PRIMARY KEY (rowid=?)
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,3,USE TEMP B-TREE FOR GROUP BY
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,4,MATERIALIZE events
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,5,SCAN cleaning_records
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,6,USE TEMP B-TREE FOR GROUP BY
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,7,SCAN h
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,8,SEARCH l USING INTEGER PRIMARY KEY (rowid=?)
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,9,BLOOM FILTER ON e (device_id=? AND hour_id=?)
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,10,SEARCH e USING AUTOMATIC COVERING INDEX (device_id=? AND hour_id=?) LEFT-JOIN
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,11,USE TEMP B-TREE FOR GROUP BY
heap_base,provenance_event_drilldown,provenance,0,SCAN p
heap_base,provenance_event_drilldown,provenance,1,SEARCH c USING INTEGER PRIMARY KEY (rowid=?)
heap_base,provenance_event_drilldown,provenance,2,SEARCH r USING INTEGER PRIMARY KEY (rowid=?)
heap_base,provenance_event_drilldown,provenance,3,SEARCH w USING INDEX sqlite_autoindex_mechanism_weights_1 (mechanism_id=? AND epsilon=? AND report_bucket=? AND stuck_bucket=?)
heap_base,provenance_event_drilldown,provenance,4,USE TEMP B-TREE FOR ORDER BY
indexed_base,candidate_likelihood_topk,query_processing,0,SCAN r USING COVERING INDEX idx_reports_channel
indexed_base,candidate_likelihood_topk,query_processing,1,SEARCH w USING INDEX sqlite_autoindex_mechanism_weights_1 (mechanism_id=? AND epsilon=? AND report_bucket=?)
indexed_base,candidate_likelihood_topk,query_processing,2,USE TEMP B-TREE FOR GROUP BY
indexed_base,candidate_likelihood_topk,query_processing,3,USE TEMP B-TREE FOR ORDER BY
indexed_base,privacy_budget_accounting,privacy_accounting,0,CO-ROUTINE (subquery-1)
indexed_base,privacy_budget_accounting,privacy_accounting,1,CO-ROUTINE (subquery-3)
indexed_base,privacy_budget_accounting,privacy_accounting,2,SCAN reports USING INDEX idx_reports_device_ts
indexed_base,privacy_budget_accounting,privacy_accounting,3,SCAN (subquery-3)
indexed_base,privacy_budget_accounting,privacy_accounting,4,SCAN (subquery-1)
indexed_base,uncertainty_privacy_dashboard,end_to_end_analytics,0,CO-ROUTINE hourly
indexed_base,uncertainty_privacy_dashboard,end_to_end_analytics,1,SCAN r USING INDEX idx_reports_device_ts
indexed_base,uncertainty_privacy_dashboard,end_to_end_analytics,2,SEARCH c USING INTEGER PRIMARY KEY (rowid=?)
