design,query_name,query_family,rep,input_rows,output_rows,elapsed_ms,throughput_rows_per_sec,query
heap_base,candidate_likelihood_topk,query_processing,0,200000,96,3831.517824000912,52198.63489794701,"select r.mechanism_id, r.epsilon, w.stuck_bucket, sum(w.logp_fault) as fault_loglik, sum(w.logp_normal) as normal_loglik, sum(w.logp_fault - w.logp_normal) as llr from reports r join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket group by r.mechanism_id, r.epsilon, w.stuck_bucket order by llr desc limit 96"
heap_base,candidate_likelihood_topk,query_processing,1,200000,96,3822.1204779983964,52326.974293792504,"select r.mechanism_id, r.epsilon, w.stuck_bucket, sum(w.logp_fault) as fault_loglik, sum(w.logp_normal) as normal_loglik, sum(w.logp_fault - w.logp_normal) as llr from reports r join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket group by r.mechanism_id, r.epsilon, w.stuck_bucket order by llr desc limit 96"
heap_base,candidate_likelihood_topk,query_processing,2,200000,96,3814.5136599923717,52431.32357806263,"select r.mechanism_id, r.epsilon, w.stuck_bucket, sum(w.logp_fault) as fault_loglik, sum(w.logp_normal) as normal_loglik, sum(w.logp_fault - w.logp_normal) as llr from reports r join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket group by r.mechanism_id, r.epsilon, w.stuck_bucket order by llr desc limit 96"
heap_base,privacy_budget_accounting,privacy_accounting,0,200000,1,86.25161099189427,2318797.2688277736,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from ( select 1000.0 - sum(epsilon) over ( partition by device_id order by ts rows between unbounded preceding and current row ) as remaining_budget from reports )"
heap_base,privacy_budget_accounting,privacy_accounting,1,200000,1,86.19531498698052,2320311.7249494274,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from ( select 1000.0 - sum(epsilon) over ( partition by device_id order by ts rows between unbounded preceding and current row ) as remaining_budget from reports )"
heap_base,privacy_budget_accounting,privacy_accounting,2,200000,1,87.17474000877701,2294242.575083831,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from ( select 1000.0 - sum(epsilon) over ( partition by device_id order by ts rows between unbounded preceding and current row ) as remaining_budget from reports )"
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,0,200000,1,91.60919299756642,2183187.008374945,"with hourly as ( select r.device_id, r.ts / 60 as hour_id, count(*) as reports, avg(case when c.action = 'repair' then c.repair_value else (2.0 * r.report_bucket / 31.0) - 1.0 end) as cleaned_mean, avg(c.posterior * (1.0 - c.posterior)) as uncertainty_proxy, sum(case when c.action = 'repair' then 1 else 0 end) as repair_count from reports r join cleaning_records c using(report_id) group by r.device_id, r.ts / 60 ), events as ( select device_id, ts / 60 as hour_id, count(*) as flagged_reports, avg(posterior) as avg_posterior from cleaning_records where action in ('flag', 'repair') group by device_id, ts / 60 having count(*) >= 2 ) select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy, sum(h.repair_count) as repair_count from hourly h join privacy_ledger l using(device_id) left join events e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,1,200000,1,90.93066099740099,2199478.1276880465,"with hourly as ( select r.device_id, r.ts / 60 as hour_id, count(*) as reports, avg(case when c.action = 'repair' then c.repair_value else (2.0 * r.report_bucket / 31.0) - 1.0 end) as cleaned_mean, avg(c.posterior * (1.0 - c.posterior)) as uncertainty_proxy, sum(case when c.action = 'repair' then 1 else 0 end) as repair_count from reports r join cleaning_records c using(report_id) group by r.device_id, r.ts / 60 ), events as ( select device_id, ts / 60 as hour_id, count(*) as flagged_reports, avg(posterior) as avg_posterior from cleaning_records where action in ('flag', 'repair') group by device_id, ts / 60 having count(*) >= 2 ) select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy, sum(h.repair_count) as repair_count from hourly h join privacy_ledger l using(device_id) left join events e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,2,200000,1,91.35200000309851,2189333.5667879884,"with hourly as ( select r.device_id, r.ts / 60 as hour_id, count(*) as reports, avg(case when c.action = 'repair' then c.repair_value else (2.0 * r.report_bucket / 31.0) - 1.0 end) as cleaned_mean, avg(c.posterior * (1.0 - c.posterior)) as uncertainty_proxy, sum(case when c.action = 'repair' then 1 else 0 end) as repair_count from reports r join cleaning_records c using(report_id) group by r.device_id, r.ts / 60 ), events as ( select device_id, ts / 60 as hour_id, count(*) as flagged_reports, avg(posterior) as avg_posterior from cleaning_records where action in ('flag', 'repair') group by device_id, ts / 60 having count(*) >= 2 ) select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy, sum(h.repair_count) as repair_count from hourly h join privacy_ledger l using(device_id) left join events e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
heap_base,provenance_event_drilldown,provenance,0,200000,100,40.96924800251145,4881710.301046771,"select c.report_id, r.device_id, r.ts, c.operator, c.posterior, p.transform, w.logp_fault - w.logp_normal as llr_component from cleaning_records c join reports r using(report_id) join provenance_edges p on p.output_report_id = c.report_id join mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket and w.stuck_bucket = coalesce(c.stuck_bucket, r.report_bucket) where c.action in ('flag', 'repair') order by c.posterior desc, r.ts desc limit 100"
