query_name,plan_step,detail
candidate_likelihood_base,0,GroupAggregate  (cost=10643.41..10644.49 rows=36 width=68)
candidate_likelihood_base,1,"  Group Key: r.mechanism_id, r.epsilon, w.stuck_bucket"
candidate_likelihood_base,2,  ->  Sort  (cost=10643.41..10643.50 rows=36 width=60)
candidate_likelihood_base,3,"        Sort Key: r.mechanism_id, r.epsilon, w.stuck_bucket"
candidate_likelihood_base,4,        ->  Nested Loop  (cost=0.42..10642.48 rows=36 width=60)
candidate_likelihood_base,5,              ->  Seq Scan on mechanism_weights w  (cost=0.00..48.88 rows=2288 width=64)
candidate_likelihood_base,6,              ->  Index Only Scan using idx_pg_reports_channel on reports r  (cost=0.42..4.62 rows=1 width=44)
candidate_likelihood_base,7,                    Index Cond: ((mechanism_id = w.mechanism_id) AND (epsilon = w.epsilon) AND (report_bucket = w.report_bucket))
candidate_likelihood_materialized_counts,0,GroupAggregate  (cost=78.28..78.33 rows=1 width=68)
candidate_likelihood_materialized_counts,1,"  Group Key: c.mechanism_id, c.epsilon, w.stuck_bucket"
candidate_likelihood_materialized_counts,2,  ->  Sort  (cost=78.28..78.28 rows=1 width=68)
candidate_likelihood_materialized_counts,3,"        Sort Key: c.mechanism_id, c.epsilon, w.stuck_bucket"
candidate_likelihood_materialized_counts,4,        ->  Hash Join  (cost=3.64..78.27 rows=1 width=68)
candidate_likelihood_materialized_counts,5,              Hash Cond: ((w.mechanism_id = c.mechanism_id) AND (w.epsilon = c.epsilon) AND (w.report_bucket = c.report_bucket))
candidate_likelihood_materialized_counts,6,              ->  Seq Scan on mechanism_weights w  (cost=0.00..48.88 rows=2288 width=64)
candidate_likelihood_materialized_counts,7,              ->  Hash  (cost=1.96..1.96 rows=96 width=52)
candidate_likelihood_materialized_counts,8,                    ->  Seq Scan on mv_report_counts c  (cost=0.00..1.96 rows=96 width=52)
candidate_topk,0,Limit  (cost=4.03..4.06 rows=10 width=20)
candidate_topk,1,  ->  Sort  (cost=4.03..4.27 rows=96 width=20)
candidate_topk,2,        Sort Key: llr DESC
candidate_topk,3,        ->  Seq Scan on candidate_likelihoods  (cost=0.00..1.96 rows=96 width=20)
privacy_budget_trace,0,Finalize Aggregate  (cost=4492.94..4492.95 rows=1 width=24)
privacy_budget_trace,1,  ->  Gather  (cost=4492.71..4492.92 rows=2 width=48)
privacy_budget_trace,2,        Workers Planned: 1
privacy_budget_trace,3,        ->  Partial Aggregate  (cost=3492.71..3492.72 rows=1 width=48)
privacy_budget_trace,4,              ->  Parallel Seq Scan on privacy_budget_trace  (cost=0.00..3198.59 rows=39216 width=8)
privacy_budget_trace,5,                    Filter: (remaining_budget < '1000'::double precision)
repair_dashboard,0,HashAggregate  (cost=154.00..157.50 rows=200 width=60)
repair_dashboard,1,  Group Key: device_id
repair_dashboard,2,  ->  Seq Scan on repair_uncertainty_analytics  (cost=0.00..104.00 rows=4000 width=28)
provenance_event_drilldown,0,Limit  (cost=615.68..615.93 rows=100 width=48)
provenance_event_drilldown,1,  ->  Sort  (cost=615.68..616.01 rows=133 width=48)
provenance_event_drilldown,2,"        Sort Key: e.flagged_reports DESC, e.avg_posterior DESC"
provenance_event_drilldown,3,        ->  Nested Loop  (cost=526.78..610.99 rows=133 width=48)
provenance_event_drilldown,4,              ->  Merge Join  (cost=526.50..567.83 rows=133 width=44)
provenance_event_drilldown,5,                    Merge Cond: ((e.device_id = h.device_id) AND (e.hour_id = h.hour_id))
provenance_event_drilldown,6,                    ->  Sort  (cost=183.19..186.52 rows=1333 width=24)
provenance_event_drilldown,7,"                          Sort Key: e.device_id, e.hour_id"
provenance_event_drilldown,8,                          ->  Seq Scan on cleaned_event_windows e  (cost=0.00..114.00 rows=1333 width=24)
provenance_event_drilldown,9,                                Filter: (avg_posterior >= '0.72'::double precision)
provenance_event_drilldown,10,                    ->  Sort  (cost=343.32..353.32 rows=4000 width=24)
provenance_event_drilldown,11,"                          Sort Key: h.device_id, h.hour_id"
provenance_event_drilldown,12,                          ->  Seq Scan on repair_uncertainty_analytics h  (cost=0.00..104.00 rows=4000 width=24)
provenance_event_drilldown,13,              ->  Index Scan using privacy_ledger_pkey on privacy_ledger l  (cost=0.28..0.32 rows=1 width=12)
provenance_event_drilldown,14,                    Index Cond: (device_id = h.device_id)
end_to_end_dashboard,0,HashAggregate  (cost=886.73..890.73 rows=200 width=88)
end_to_end_dashboard,1,  Group Key: CASE WHEN (l.remaining_budget < '980'::double precision) THEN 'near_cap'::text ELSE 'ok'::text END
end_to_end_dashboard,2,  ->  Hash Join  (cost=752.21..836.73 rows=4000 width=56)
end_to_end_dashboard,3,        Hash Cond: (h.device_id = l.device_id)
end_to_end_dashboard,4,        ->  Merge Left Join  (cost=686.63..750.63 rows=4000 width=28)
end_to_end_dashboard,5,              Merge Cond: ((h.device_id = e.device_id) AND (h.hour_id = e.hour_id))
end_to_end_dashboard,6,              ->  Sort  (cost=343.32..353.32 rows=4000 width=24)
end_to_end_dashboard,7,"                    Sort Key: h.device_id, h.hour_id"
end_to_end_dashboard,8,                    ->  Seq Scan on repair_uncertainty_analytics h  (cost=0.00..104.00 rows=4000 width=24)
end_to_end_dashboard,9,              ->  Sort  (cost=343.32..353.32 rows=4000 width=16)
end_to_end_dashboard,10,"                    Sort Key: e.device_id, e.hour_id"
end_to_end_dashboard,11,                    ->  Seq Scan on cleaned_event_windows e  (cost=0.00..104.00 rows=4000 width=16)
end_to_end_dashboard,12,        ->  Hash  (cost=38.59..38.59 rows=2159 width=12)
end_to_end_dashboard,13,              ->  Seq Scan on privacy_ledger l  (cost=0.00..38.59 rows=2159 width=12)
