query_name,rep,input_rows,output_rows,elapsed_ms,throughput_rows_per_sec,query
candidate_likelihood_base,0,200000,96,3234.4708740129136,61833.915898542575,"select r.mechanism_id, r.epsilon, w.stuck_bucket, sum(w.logp_fault) as fault_loglik, sum(w.logp_normal) as normal_loglik, sum(w.logp_fault - w.logp_normal) as llr from privsaf_pg.reports r join privsaf_pg.mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket group by r.mechanism_id, r.epsilon, w.stuck_bucket"
candidate_likelihood_base,1,200000,96,3221.532104013022,62082.26196189773,"select r.mechanism_id, r.epsilon, w.stuck_bucket, sum(w.logp_fault) as fault_loglik, sum(w.logp_normal) as normal_loglik, sum(w.logp_fault - w.logp_normal) as llr from privsaf_pg.reports r join privsaf_pg.mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket group by r.mechanism_id, r.epsilon, w.stuck_bucket"
candidate_likelihood_base,2,200000,96,3235.591039992869,61812.508913500016,"select r.mechanism_id, r.epsilon, w.stuck_bucket, sum(w.logp_fault) as fault_loglik, sum(w.logp_normal) as normal_loglik, sum(w.logp_fault - w.logp_normal) as llr from privsaf_pg.reports r join privsaf_pg.mechanism_weights w on w.mechanism_id = r.mechanism_id and w.epsilon = r.epsilon and w.report_bucket = r.report_bucket group by r.mechanism_id, r.epsilon, w.stuck_bucket"
candidate_likelihood_materialized_counts,0,200000,96,1.2170610134489834,164330298.8017236,"select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from privsaf_pg.mv_report_counts c join privsaf_pg.mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket"
candidate_likelihood_materialized_counts,1,200000,96,1.2025210016872734,166317261.58576632,"select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from privsaf_pg.mv_report_counts c join privsaf_pg.mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket"
candidate_likelihood_materialized_counts,2,200000,96,1.1495290091261268,173984300.0152212,"select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from privsaf_pg.mv_report_counts c join privsaf_pg.mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket"
candidate_topk,0,200000,10,0.04336799611337483,4611695672.475845,"select epsilon, stuck_bucket, llr from privsaf_pg.candidate_likelihoods order by llr desc limit 10"
candidate_topk,1,200000,10,0.026080990210175514,7668420500.459752,"select epsilon, stuck_bucket, llr from privsaf_pg.candidate_likelihoods order by llr desc limit 10"
candidate_topk,2,200000,10,0.02356001641601324,8488958431.457809,"select epsilon, stuck_bucket, llr from privsaf_pg.candidate_likelihoods order by llr desc limit 10"
privacy_budget_trace,0,200000,1,0.029813003493472934,6708482090.500768,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privsaf_pg.privacy_budget_trace where remaining_budget < 1000.0"
privacy_budget_trace,1,200000,1,0.020682986360043287,9669783488.63454,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privsaf_pg.privacy_budget_trace where remaining_budget < 1000.0"
privacy_budget_trace,2,200000,1,0.018560996977612376,10775283258.826721,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privsaf_pg.privacy_budget_trace where remaining_budget < 1000.0"
repair_dashboard,0,200000,2000,0.504955998621881,396074114.4690572,"select device_id, count(*) as hourly_groups, avg(cleaned_mean) as avg_cleaned_mean, sum(repair_count) as repaired_reports, avg(uncertainty_proxy) as avg_uncertainty_proxy from privsaf_pg.repair_uncertainty_analytics group by device_id"
repair_dashboard,1,200000,2000,0.37702801637351513,530464557.8429998,"select device_id, count(*) as hourly_groups, avg(cleaned_mean) as avg_cleaned_mean, sum(repair_count) as repaired_reports, avg(uncertainty_proxy) as avg_uncertainty_proxy from privsaf_pg.repair_uncertainty_analytics group by device_id"
repair_dashboard,2,200000,2000,0.36447099409997463,548740512.2426282,"select device_id, count(*) as hourly_groups, avg(cleaned_mean) as avg_cleaned_mean, sum(repair_count) as repaired_reports, avg(uncertainty_proxy) as avg_uncertainty_proxy from privsaf_pg.repair_uncertainty_analytics group by device_id"
provenance_event_drilldown,0,200000,100,3.362857998581603,59473221.9095652,"select e.device_id, e.hour_id, e.flagged_reports, e.avg_posterior, h.cleaned_mean, h.uncertainty_proxy, l.remaining_budget from privsaf_pg.cleaned_event_windows e join privsaf_pg.repair_uncertainty_analytics h on h.device_id = e.device_id and h.hour_id = e.hour_id join privsaf_pg.privacy_ledger l on l.device_id = e.device_id where e.avg_posterior >= 0.72 order by e.flagged_reports desc, e.avg_posterior desc limit 100"
provenance_event_drilldown,1,200000,100,3.323354001622647,60180167.355734244,"select e.device_id, e.hour_id, e.flagged_reports, e.avg_posterior, h.cleaned_mean, h.uncertainty_proxy, l.remaining_budget from privsaf_pg.cleaned_event_windows e join privsaf_pg.repair_uncertainty_analytics h on h.device_id = e.device_id and h.hour_id = e.hour_id join privsaf_pg.privacy_ledger l on l.device_id = e.device_id where e.avg_posterior >= 0.72 order by e.flagged_reports desc, e.avg_posterior desc limit 100"
provenance_event_drilldown,2,200000,100,3.2298750011250377,61921900.98079199,"select e.device_id, e.hour_id, e.flagged_reports, e.avg_posterior, h.cleaned_mean, h.uncertainty_proxy, l.remaining_budget from privsaf_pg.cleaned_event_windows e join privsaf_pg.repair_uncertainty_analytics h on h.device_id = e.device_id and h.hour_id = e.hour_id join privsaf_pg.privacy_ledger l on l.device_id = e.device_id where e.avg_posterior >= 0.72 order by e.flagged_reports desc, e.avg_posterior desc limit 100"
end_to_end_dashboard,0,200000,1,1.461288018617779,136865557.95426178,"select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy from privsaf_pg.repair_uncertainty_analytics h join privsaf_pg.privacy_ledger l on l.device_id = h.device_id left join privsaf_pg.cleaned_event_windows e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
end_to_end_dashboard,1,200000,1,1.4621599984820932,136783936.23654407,"select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy from privsaf_pg.repair_uncertainty_analytics h join privsaf_pg.privacy_ledger l on l.device_id = h.device_id left join privsaf_pg.cleaned_event_windows e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
end_to_end_dashboard,2,200000,1,1.4819340140093118,134958775.5657947,"select case when l.remaining_budget < 980.0 then 'near_cap' else 'ok' end as budget_band, count(*) as hourly_groups, sum(coalesce(e.flagged_reports, 0)) as flagged_reports, avg(h.cleaned_mean) as avg_cleaned_mean, avg(h.uncertainty_proxy) as avg_uncertainty_proxy from privsaf_pg.repair_uncertainty_analytics h join privsaf_pg.privacy_ledger l on l.device_id = h.device_id left join privsaf_pg.cleaned_event_windows e on e.device_id = h.device_id and e.hour_id = h.hour_id group by budget_band"
