check,expected,observed,status
count:reports,200000,200000,pass
count:cleaning_records,200000,200000,pass
count:provenance_edges,200000,200000,pass
count:privacy_budget_trace,200000,200000,pass
count:privacy_ledger,2000,2000,pass
count:mv_report_counts,96,96,pass
count:candidate_likelihoods,96,96,pass
count:hourly_cleaned_analytics,4000,4000,pass
count:cleaned_event_windows,4000,4000,pass
count:repair_uncertainty_analytics,4000,4000,pass
candidate_topk_nonempty,10,10,pass
budget_window_nonempty,200000,200000,pass
provenance_drilldown_nonempty,100,100,pass
dashboard_nonempty,1,1,pass
