stuck_value_type,epsilon,cases,TV_sep,KL_sep,AUPRC,bucket_hit1,prevalence
tail_q05,2.0,15,0.356968338336641,0.3753185570845764,0.7716033308917826,0.7333333333333333,0.20002223457476376
tail_q05,4.0,15,0.6236786842160428,1.135649484990617,0.8940003442747435,1.0,0.20002223457476376
tail_q95,2.0,15,0.51023551302018,0.7111121828359732,0.8267088242927287,0.6666666666666666,0.20002223457476376
tail_q95,4.0,15,0.7991999895085701,2.0784354576879993,0.8404423725801125,0.8,0.20002223457476376
median,0.5,60,0.04344560114419792,0.00585759142777304,0.07652840158511233,0.0,0.075
median,1.0,60,0.09444150566279202,0.02585866472735698,0.07183777758078777,0.0,0.075
median,2.0,60,0.22915102678718746,0.1357981068527905,0.08512076584832655,0.06666666666666667,0.075
mode_bucket,0.5,60,0.053965268330054474,0.01042266553976728,0.08395204339584074,0.05,0.075
mode_bucket,1.0,60,0.11825814633911452,0.04515048348377632,0.08809633249622104,0.13333333333333333,0.075
mode_bucket,2.0,60,0.2702784955654657,0.20243086406557811,0.10774501599138886,0.21666666666666667,0.075
min_tv_column,0.5,60,0.04055948557774418,0.005509169915577021,0.081275678808726,0.0,0.075
min_tv_column,1.0,60,0.0907996282360005,0.024789956217387398,0.0697699200672986,0.0,0.075
min_tv_column,2.0,60,0.225025695235968,0.1303933389845471,0.07878641215172487,0.05,0.075
