dataset,stream,fault_mode,stuck_value_type,epsilon,seed,method,AUROC,AUPRC,TV_sep,KL_sep,ratio_MAE,bucket_hit1,calibration_condition,fault_rate,target_fault_rate,segment_length,stuck_value,true_bucket,calibration_train_TV_sep
air_quality,C6H6(GT),segment_stuck,median,0.5,0,privsaf_hmm,0.3449561403508772,0.035551658616166146,0.042927131967938084,0.005616884757036368,0.01260045370376471,0.0,matched_train,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,privsaf_mixture,0.4507894736842105,0.04404820732407943,0.042927131967938084,0.005616884757036368,0.19,0.0,matched_train,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,ldp_window_glr,0.4230336257309942,0.04550827870462863,0.042927131967938084,0.005616884757036368,0.12916666666666665,0.0,matched_train,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,ldp_distribution_surprise,0.43241228070175436,0.046185085895377564,0.042927131967938084,0.005616884757036368,,,matched_train,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,privsaf_hmm,0.36349415204678365,0.036536384303157435,0.04960673059035535,0.006942357829315035,0.012682853108305067,0.0,shifted_validation,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,privsaf_mixture,0.4563888888888889,0.04457295595217187,0.04960673059035535,0.006942357829315035,0.20393939393939392,0.0,shifted_validation,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,ldp_window_glr,0.47113304093567254,0.05000561598170457,0.04960673059035535,0.006942357829315035,0.12333333333333334,0.0,shifted_validation,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,ldp_distribution_surprise,0.43124269005847954,0.04611687390341946,0.04960673059035535,0.006942357829315035,,,shifted_validation,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,privsaf_hmm,0.431359649122807,0.0509112337938879,0.042927131967938084,0.005616884757036368,0.018483998000699317,0.0,matched_train,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,privsaf_mixture,0.5042178362573099,0.05094298679671506,0.042927131967938084,0.005616884757036368,0.4409090909090909,0.0,matched_train,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,ldp_window_glr,0.48157894736842105,0.05899094719387964,0.042927131967938084,0.005616884757036368,0.14500000000000002,0.0,matched_train,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,ldp_distribution_surprise,0.4923026315789473,0.05085677340908494,0.042927131967938084,0.005616884757036368,,,matched_train,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,privsaf_hmm,0.43603801169590645,0.05246500499575042,0.04960673059035535,0.006942357829315035,0.018648573852718495,0.0,shifted_validation,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,privsaf_mixture,0.5001096491228071,0.05066704621144222,0.04960673059035535,0.006942357829315035,0.4409090909090909,0.0,shifted_validation,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,ldp_window_glr,0.4379093567251462,0.05552875253515949,0.04960673059035535,0.006942357829315035,0.13916666666666666,0.0,shifted_validation,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,ldp_distribution_surprise,0.4913084795321637,0.05077453986014492,0.04960673059035535,0.006942357829315035,,,shifted_validation,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,privsaf_hmm,0.18726608187134502,0.029900662042062355,0.042927131967938084,0.005616884757036368,0.016944168426305195,0.0,matched_train,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,privsaf_mixture,0.41424707602339184,0.04012318607188396,0.042927131967938084,0.005616884757036368,0.32242424242424245,0.0,matched_train,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,ldp_window_glr,0.5070102339181286,0.06488515179924056,0.042927131967938084,0.005616884757036368,0.13166666666666665,0.0,matched_train,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,ldp_distribution_surprise,0.5148757309941521,0.05358449024188586,0.042927131967938084,0.005616884757036368,,,matched_train,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,privsaf_hmm,0.18570175438596492,0.029817650185666095,0.04960673059035535,0.006942357829315035,0.01822742219063163,0.0,shifted_validation,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,privsaf_mixture,0.41424707602339184,0.04012318607188396,0.04960673059035535,0.006942357829315035,0.32242424242424245,0.0,shifted_validation,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,ldp_window_glr,0.48629385964912275,0.0630617295587298,0.04960673059035535,0.006942357829315035,0.13,0.0,shifted_validation,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,ldp_distribution_surprise,0.512156432748538,0.05333622726342693,0.04960673059035535,0.006942357829315035,,,shifted_validation,0.05,0.05,12,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,privsaf_hmm,0.686125730994152,0.07309052779950612,0.042927131967938084,0.005616884757036368,0.015256270525407997,0.0,matched_train,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,privsaf_mixture,0.500358187134503,0.04887355250365211,0.042927131967938084,0.005616884757036368,0.19696969696969696,0.0,matched_train,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,ldp_window_glr,0.5249488304093568,0.054908887641902625,0.042927131967938084,0.005616884757036368,0.11750000000000001,0.0,matched_train,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,0,ldp_distribution_surprise,0.4514254385964912,0.047640487161727224,0.042927131967938084,0.005616884757036368,,,matched_train,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,privsaf_hmm,0.7051023391812865,0.07717130750255873,0.04960673059035535,0.006942357829315035,0.015869233762731347,0.0,shifted_validation,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,privsaf_mixture,0.505328947368421,0.04941870506273294,0.04960673059035535,0.006942357829315035,0.20393939393939392,0.0,shifted_validation,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,ldp_window_glr,0.5807383040935673,0.06011798845663696,0.04960673059035535,0.006942357829315035,0.14666666666666667,0.0,shifted_validation,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,ldp_distribution_surprise,0.45127923976608186,0.04763795610283044,0.04960673059035535,0.006942357829315035,,,shifted_validation,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,privsaf_hmm,0.6296198830409356,0.062027634386799604,0.042927131967938084,0.005616884757036368,0.05284403307881616,0.0,matched_train,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,privsaf_mixture,0.5036257309941521,0.05095828960196851,0.042927131967938084,0.005616884757036368,0.5454545454545454,0.0,matched_train,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,ldp_window_glr,0.43844298245614033,0.05467972837476426,0.042927131967938084,0.005616884757036368,0.12333333333333334,0.0,matched_train,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,ldp_distribution_surprise,0.4369152046783626,0.04697026445825416,0.042927131967938084,0.005616884757036368,,,matched_train,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,privsaf_hmm,0.6488304093567252,0.0647393173886509,0.04960673059035535,0.006942357829315035,0.05501184819554422,0.0,shifted_validation,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,privsaf_mixture,0.5036257309941521,0.05095828960196851,0.04960673059035535,0.006942357829315035,0.5524242424242424,0.0,shifted_validation,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,ldp_window_glr,0.5830774853801169,0.07488843999787952,0.04960673059035535,0.006942357829315035,0.14833333333333332,0.0,shifted_validation,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,ldp_distribution_surprise,0.43722222222222223,0.04700311170346587,0.04960673059035535,0.006942357829315035,,,shifted_validation,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,privsaf_hmm,0.45185672514619885,0.04432329425166412,0.042927131967938084,0.005616884757036368,0.05379582515399439,0.0,matched_train,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,privsaf_mixture,0.44198099415204684,0.04343355993120997,0.042927131967938084,0.005616884757036368,0.38515151515151513,0.0,matched_train,0.05,0.05,24,-0.5361445783132529,7,0.042927131967938084
