dataset,stream,fault_mode,stuck_value_type,epsilon,method,calibration_condition,rows,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,TV_sep_mean,KL_sep_mean,ratio_MAE_mean,bucket_hit1_mean,fault_rate_mean,segment_length_min,segment_length_max
air_quality,C6H6(GT),segment_stuck,median,0.5,ldp_distribution_surprise,matched_train,12,0.4758422846274637,0.02994162790583104,0.07352162314303883,0.02554827717276983,0.04292713196793809,0.005616884757036369,,,0.075,12,24
air_quality,C6H6(GT),segment_stuck,median,0.5,ldp_window_glr,matched_train,12,0.47341447029997835,0.04395932800760435,0.0869429194593186,0.038107225276364905,0.04292713196793809,0.005616884757036369,0.10277777777777779,0.0,0.075,12,24
air_quality,C6H6(GT),segment_stuck,median,0.5,privsaf_hmm,matched_train,12,0.3980127788607321,0.1427547865925222,0.06450974394674823,0.02308354407076951,0.04292713196793809,0.005616884757036369,0.029874612939575922,0.0,0.075,12,24
air_quality,C6H6(GT),segment_stuck,median,0.5,privsaf_mixture,matched_train,12,0.46490028359865715,0.028225326746376893,0.06845279432448038,0.023347062128107582,0.04292713196793809,0.005616884757036369,0.3066161616161616,0.0,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,median,0.5,ldp_distribution_surprise,matched_train,12,0.4908509651830193,0.03444455553969522,0.0764050547890338,0.026291953253296106,0.04402327572989465,0.006061656412656001,,,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,median,0.5,ldp_window_glr,matched_train,12,0.5328303687459389,0.12416809590441429,0.11660337375237943,0.05421311529286894,0.04402327572989465,0.006061656412656001,0.10638888888888888,0.0,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,median,0.5,privsaf_hmm,matched_train,12,0.42758886993718864,0.15931115198160134,0.07472468561878408,0.04171569440873657,0.04402327572989465,0.006061656412656001,0.01698204482455876,0.0,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,median,0.5,privsaf_mixture,matched_train,12,0.47335746290881525,0.035424179499098984,0.07203375115034112,0.02414343863243245,0.04402327572989465,0.006061656412656001,0.316489898989899,0.0,0.075,12,24
bike_sharing,cnt,segment_stuck,median,0.5,ldp_distribution_surprise,matched_train,12,0.45851327295863115,0.03238850800567597,0.07105138520166206,0.025006848327204147,0.04749794819639788,0.006478804308403909,,,0.075,12,24
bike_sharing,cnt,segment_stuck,median,0.5,ldp_window_glr,matched_train,12,0.5136001461988304,0.09929746979163734,0.09174618989845774,0.03385100906514083,0.04749794819639788,0.006478804308403909,0.11937500000000001,0.0,0.075,12,24
